,id,question.question_concept,question.choices,question.stem,keywords
28,c4bf68163c4cf8cf16dd8ed00c906b28,bookcase,"[{'label': 'A', 'text': 'public library'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'display nice clock'}, {'label': 'D', 'text': 'den'}, {'label': 'E', 'text': 'study'}]",What has more than four walls inside of it and might contain a bookcase?,"['bookcase', 'walls', 'inside', 'contain']"
29,d1e3039e1ada479354bfa866b3870822,crumbs,"[{'label': 'A', 'text': 'table'}, {'label': 'B', 'text': 'floor'}, {'label': 'C', 'text': 'breadbox'}, {'label': 'D', 'text': 'box of crackers'}, {'label': 'E', 'text': 'rug'}]",Where do crumbs end up after they fall of your plate?,"['crumbs', 'plate', 'fall', 'end']"
30,b870c8326fcd43bebec50b7a0c7a46eb,death,"[{'label': 'A', 'text': 'ghost'}, {'label': 'B', 'text': 'burial'}, {'label': 'C', 'text': 'rebirth'}, {'label': 'D', 'text': 'decomposition'}, {'label': 'E', 'text': 'sadness'}]",What could happen to a soul after death?,"['soul', 'death', 'happen']"
31,23a30f6f1c659a84ab25c84d3385d905,silicone,"[{'label': 'A', 'text': 'contact lens'}, {'label': 'B', 'text': 'tube'}, {'label': 'C', 'text': 'many man made items'}, {'label': 'D', 'text': 'breast implants'}, {'label': 'E', 'text': 'hardware store'}]",Where would you get silicone if you do not have any?,['silicone']
32,dbf107a805e2decef2dee35879a15537,paper,"[{'label': 'A', 'text': 'notebook'}, {'label': 'B', 'text': 'ream'}, {'label': 'C', 'text': 'fax machine'}, {'label': 'D', 'text': 'copy machine'}, {'label': 'E', 'text': 'stock certificate'}]","The office used a lot of paper, they were constantly running out of it using the what?","['paper', 'office', 'using', 'used', 'lot']"
33,75198a8f06a80f2008fc58eaab627bec,news,"[{'label': 'A', 'text': 'relevant'}, {'label': 'B', 'text': 'propaganda'}, {'label': 'C', 'text': 'old information'}, {'label': 'D', 'text': 'fiction'}, {'label': 'E', 'text': 'park'}]","Printed news struggled in the modern era, with the instant internet the newspapers just felt like what?","['newspapers', 'news', 'internet', 'modern', 'printed']"
34,2fef162dd803ab164e0b1b94821b9dd8,relax,"[{'label': 'A', 'text': 'stretch out'}, {'label': 'B', 'text': 'stop worrying'}, {'label': 'C', 'text': 'go to bed'}, {'label': 'D', 'text': 'have tea'}, {'label': 'E', 'text': 'listen to music'}]","She was really wound up about the test, her roommate told her to relax and what?","['relax', 'test', 'roommate', 'wound', 'really']"
35,3f930ccb2f4e3aa1dd5be9f2d38b8b48,see story,"[{'label': 'A', 'text': 'picture it'}, {'label': 'B', 'text': 'reading'}, {'label': 'C', 'text': 'visualize'}, {'label': 'D', 'text': 'open book'}, {'label': 'E', 'text': 'go to movies'}]","The child's wild imagination made him able to see story that he read, he was able to do what with the story?","['imagination', 'child', 'story', 'read', 'wild']"
36,2fc16ace053d5a906a6d5f422a242d7c,sign,"[{'label': 'A', 'text': 'city'}, {'label': 'B', 'text': 'bus stop'}, {'label': 'C', 'text': 'street corner'}, {'label': 'D', 'text': 'school'}, {'label': 'E', 'text': 'roadblock'}]",Where would you most commonly find a stop sign?,"['sign', 'commonly', 'stop']"
37,b8fec0eabb7090db994997dd694cac69,weasel,"[{'label': 'A', 'text': 'washington dc'}, {'label': 'B', 'text': 'prehistoric museum'}, {'label': 'C', 'text': 'chicken coop'}, {'label': 'D', 'text': 'cherry tree'}, {'label': 'E', 'text': 'natural history museum'}]",Where would you find a weasel that is not alive?,"['weasel', 'alive']"
38,96646a5c200f027b54ffbf8021552b80,stamps,"[{'label': 'A', 'text': 'suitcase'}, {'label': 'B', 'text': 'desk'}, {'label': 'C', 'text': 'drawer'}, {'label': 'D', 'text': 'cabinet'}, {'label': 'E', 'text': 'case'}]",What part of some furniture could you put some stamps in?,"['stamps', 'furniture']"
39,ba2ebed8baf269abcfa0020ea11ba3eb,learning,"[{'label': 'A', 'text': 'effectiveness'}, {'label': 'B', 'text': 'distress'}, {'label': 'C', 'text': 'education'}, {'label': 'D', 'text': 'gaining knowledge'}, {'label': 'E', 'text': 'increasing knowledge'}]",What is a good learning method known for?,"['learning', 'method', 'known', 'good']"
40,4bcb3da3045057af215cbc04e763af16,bat,"[{'label': 'A', 'text': 'bridge'}, {'label': 'B', 'text': 'belfry'}, {'label': 'C', 'text': 'new mexico'}, {'label': 'D', 'text': 'dug out'}, {'label': 'E', 'text': 'off the field'}]","The bat needed to go back to the benched players, where did it go?","['bat', 'benched', 'players', 'did', 'needed']"
41,b887bcc33bb61eb20e37e52ac1ce626f,pizza,"[{'label': 'A', 'text': 'oven'}, {'label': 'B', 'text': 'oven'}, {'label': 'C', 'text': 'restaurant'}, {'label': 'D', 'text': 'popular'}, {'label': 'E', 'text': 'plate'}]",From where is a pizza removed before it is served?,"['pizza', 'served', 'removed']"
42,bec4f1a2e26fe096a26216d762c78993,music,"[{'label': 'A', 'text': 'silence'}, {'label': 'B', 'text': 'silent'}, {'label': 'C', 'text': 'television'}, {'label': 'D', 'text': 'night club'}, {'label': 'E', 'text': 'night club'}]",There is normally music at the beginning and end of the programming you watch on what?,"['music', 'beginning', 'watch', 'end', 'normally']"
43,f4ba945c957f3444e35f833dd0435c0a,weasel,"[{'label': 'A', 'text': 'hen house'}, {'label': 'B', 'text': 'michigan'}, {'label': 'C', 'text': 'forrest'}, {'label': 'D', 'text': 'great britain'}, {'label': 'E', 'text': 'dumpster'}]",Where is a weasel likely to have an accent?,"['weasel', 'accent', 'likely']"
44,4d3e355cf5aa074edefe7173b77f63ec,united states,"[{'label': 'A', 'text': 'northern hemisphere'}, {'label': 'B', 'text': 'history book'}, {'label': 'C', 'text': 'north america'}, {'label': 'D', 'text': 'atlas'}, {'label': 'E', 'text': 'indians'}]","The man wanted to learn about United States presidents, where should he look?","['presidents', 'learn', 'look', 'states', 'united']"
45,6fce16ebf11626ef55bf0c0e37c9456d,skin,"[{'label': 'A', 'text': 'apples'}, {'label': 'B', 'text': 'body'}, {'label': 'C', 'text': 'people'}, {'label': 'D', 'text': 'fruit'}, {'label': 'E', 'text': 'finger'}]","The child tried to put a band-aid on the pet, his mom stopped him and explained they were only for skin of who?","['skin', 'pet', 'child', 'aid', 'mom']"
46,9e102eadc895ea08bbfbfd80c8309ee0,judging,"[{'label': 'A', 'text': 'guilty feelings'}, {'label': 'B', 'text': 'conflict'}, {'label': 'C', 'text': 'fight with each other'}, {'label': 'D', 'text': 'argument'}, {'label': 'E', 'text': 'controversy'}]",What can happen between two people judging a situation differently?,"['judging', 'situation', 'differently', 'people', 'happen']"
47,fcff323001011dd21ed51fabff2f969f,platform,"[{'label': 'A', 'text': 'museum'}, {'label': 'B', 'text': 'cafeteria'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'depot'}, {'label': 'E', 'text': 'concert hall'}]","The conductor was pompous and wanted his platform higher, he wanted to make sure he could be seen clearly from every seat in the what?","['conductor', 'seat', 'pompous', 'platform', 'higher']"
48,43abbb0eb56d4e462c01b28afd632b8c,weasel,"[{'label': 'A', 'text': 'viking ship'}, {'label': 'B', 'text': 'mulberry bush'}, {'label': 'C', 'text': 'chicken coop'}, {'label': 'D', 'text': 'fedex'}, {'label': 'E', 'text': 'rabbit warren'}]",How could a weasel go to another continent?,"['weasel', 'continent']"
49,5b8c59723217c25ab48b653822e0adac,space,"[{'label': 'A', 'text': 'milky way'}, {'label': 'B', 'text': 'jar'}, {'label': 'C', 'text': 'universe'}, {'label': 'D', 'text': 'suitcase'}, {'label': 'E', 'text': 'box'}]",Where can you find all of space?,['space']
50,ac8fcf96f07002db078949f4887246b3,handle,"[{'label': 'A', 'text': 'saucepan'}, {'label': 'B', 'text': 'brush'}, {'label': 'C', 'text': 'carry purse'}, {'label': 'D', 'text': 'keys'}, {'label': 'E', 'text': 'umbrella'}]","The handle broke on a tool that James needed.  It was a long metal handle, with springs in it.  What was the tool?","['tool', 'handle', 'metal', 'springs', 'james']"
51,0889b1d775c31b6c8162a3349da5ddb0,church,"[{'label': 'A', 'text': 'christian community'}, {'label': 'B', 'text': 'every town'}, {'label': 'C', 'text': 'wedding'}, {'label': 'D', 'text': 'populated area'}, {'label': 'E', 'text': 'city'}]",Jenny and all of her friends go to a church. So do all of her neighbors and everyone she knows.  There is no one in her area that doesn't go to church.  Where might she live?,"['church', 'jenny', 'neighbors', 'area', 'friends']"
52,6a73597749f0c6803624ba4b3671c21c,sitting quietly,"[{'label': 'A', 'text': 'relaxing'}, {'label': 'B', 'text': 'satisfaction'}, {'label': 'C', 'text': 'happiness'}, {'label': 'D', 'text': 'relaxation'}, {'label': 'E', 'text': 'anxiety'}]",What could happen to you after you have been sitting quietly and then are offered a job?,"['job', 'quietly', 'sitting', 'happen', 'offered']"
53,a069688802ba0a0418b9d3a1a5592859,heifer,"[{'label': 'A', 'text': 'michigan'}, {'label': 'B', 'text': 'countryside'}, {'label': 'C', 'text': 'farm yard'}, {'label': 'D', 'text': 'german field'}, {'label': 'E', 'text': 'barnyard'}]","If a heifer were living in a rural area with other domesticated animals, what would that area be called?","['heifer', 'rural', 'domesticated', 'area', 'animals']"
54,778ef50cd09c693a2483f4a8ef9e2f33,prison,"[{'label': 'A', 'text': 'penitentiary'}, {'label': 'B', 'text': 'alcatraz'}, {'label': 'C', 'text': 'countryside'}, {'label': 'D', 'text': 'kansas'}, {'label': 'E', 'text': 'america'}]","A person is an area where there is not a prison anywhere nearby, only grass where are they likely to be?","['prison', 'person', 'grass', 'nearby', 'area']"
55,65868de4b9ef8c4e3c330446791afddd,hunger,"[{'label': 'A', 'text': 'eating'}, {'label': 'B', 'text': 'starvation'}, {'label': 'C', 'text': 'eat a worm'}, {'label': 'D', 'text': 'have lunch'}, {'label': 'E', 'text': 'discomfort'}]",What happens when hunger is not sated?,"['hunger', 'sated', 'happens']"
56,302848fd33b7de1db309c7893c9468d5,flowers,"[{'label': 'A', 'text': 'vase'}, {'label': 'B', 'text': 'anthology'}, {'label': 'C', 'text': 'rest area'}, {'label': 'D', 'text': 'countryside'}, {'label': 'E', 'text': 'table'}]","If one picked many flowers to display, what would they put them in?","['flowers', 'display', 'picked']"
57,f49cbed605a903623637c74d7e5752ec,ferret,"[{'label': 'A', 'text': 'out of doors'}, {'label': 'B', 'text': 'great britain'}, {'label': 'C', 'text': 'house'}, {'label': 'D', 'text': 'rocky mountains'}, {'label': 'E', 'text': 'north america'}]","Even though legality is questionable, a lot of people have a pet ferret all over where?","['ferret', 'pet', 'legality', 'people', 'lot']"
58,d07d6a6db10059cd4815351405c741a6,beam,"[{'label': 'A', 'text': 'bridge'}, {'label': 'B', 'text': 'ceiling'}, {'label': 'C', 'text': 'warehouse'}, {'label': 'D', 'text': 'new construction'}, {'label': 'E', 'text': 'school'}]",He worked in what large sorting area moving boxes with many a beam overhead?,"['boxes', 'overhead', 'beam', 'sorting', 'moving']"
59,091b90d1d4393b3e8790e605927e2126,balloon,"[{'label': 'A', 'text': 'birthday party'}, {'label': 'B', 'text': 'sky'}, {'label': 'C', 'text': 'circus'}, {'label': 'D', 'text': 'tree'}, {'label': 'E', 'text': 'grocery store'}]",Where did the balloon go when the child lost control of it?,"['balloon', 'child', 'lost', 'control', 'did']"
60,95b2c13b66129dc5e7551f4fa849d411,door,"[{'label': 'A', 'text': 'keep people out'}, {'label': 'B', 'text': 'glass'}, {'label': 'C', 'text': 'xray vision'}, {'label': 'D', 'text': 'enclose cupboard'}, {'label': 'E', 'text': 'open'}]",Why would you be able to see through a door?,"['door', 'able']"
61,c1e186a3132cb4858fa701f4d400fbf5,chair,"[{'label': 'A', 'text': 'church'}, {'label': 'B', 'text': 'university'}, {'label': 'C', 'text': 'furniture store'}, {'label': 'D', 'text': 'brothel'}, {'label': 'E', 'text': 'office'}]",Where would you sit in a chair while hearing about sin?,"['sin', 'sit', 'chair', 'hearing']"
62,fbc9fe0c02a75bec9aa79bb7366e4794,reading,"[{'label': 'A', 'text': 'concentration'}, {'label': 'B', 'text': 'written material'}, {'label': 'C', 'text': 'accumulating knowledge'}, {'label': 'D', 'text': 'brain power'}, {'label': 'E', 'text': 'concentrating'}]","Reading the instructions was difficult, it took all his what?","['instructions', 'difficult', 'reading', 'took']"
63,f2c11e9f99aa19752b57a8c4cfe27048,accordion,"[{'label': 'A', 'text': 'music store'}, {'label': 'B', 'text': 'instrument room'}, {'label': 'C', 'text': 'variety show'}, {'label': 'D', 'text': 'grocery store'}, {'label': 'E', 'text': 'san francisco'}]",Where could you find millions of accordion?,"['accordion', 'millions']"
64,afb23d492be6a9481caf099e19bd0fe6,fart,"[{'label': 'A', 'text': 'impress'}, {'label': 'B', 'text': 'smell bad'}, {'label': 'C', 'text': 'attention'}, {'label': 'D', 'text': 'offend'}, {'label': 'E', 'text': 'expel gas'}]",A fart is something that is known to?,"['fart', 'known']"
65,e2068d00603c52cfa67f96e6a12424d4,rosebush,"[{'label': 'A', 'text': 'in the attic'}, {'label': 'B', 'text': 'botanic garden'}, {'label': 'C', 'text': 'backyard'}, {'label': 'D', 'text': 'flower garden'}, {'label': 'E', 'text': 'garden center'}]",Where is a personal rosebush likely to be found?,"['rosebush', 'personal', 'likely']"
66,6efe7877b8edb04b0ae605f648915f3b,dog,"[{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'dog pound'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'backyard'}, {'label': 'E', 'text': 'leash'}]",James took his dog for a walk in a place where there were picnics.   Where might he have taken his dog?,"['picnics', 'dog', 'james', 'place', 'walk']"
67,411f6391e0671388f372eca1bf860dad,chicken,"[{'label': 'A', 'text': 'stove'}, {'label': 'B', 'text': 'plate'}, {'label': 'C', 'text': 'freezer'}, {'label': 'D', 'text': 'fast food restaurant'}, {'label': 'E', 'text': 'pizza'}]",On what is your chicken usually presented to you?,"['chicken', 'usually', 'presented']"
68,220605d634a4c6ebf7025c891396ed12,beautiful,"[{'label': 'A', 'text': 'homely'}, {'label': 'B', 'text': 'bad'}, {'label': 'C', 'text': 'overcast'}, {'label': 'D', 'text': 'outdated'}, {'label': 'E', 'text': 'plain'}]","She found the  vintage dress beautiful, this was despite that it looked very what compared to the other's elaborate dresses?","['dresses', 'dress', 'vintage', 'compared', 'looked']"
69,5da3c2f05d6f3cefbbbe4646ae64ae4c,marmoset,"[{'label': 'A', 'text': 'warm climate'}, {'label': 'B', 'text': 'great outdoors'}, {'label': 'C', 'text': 'jungle'}, {'label': 'D', 'text': 'rainforest'}, {'label': 'E', 'text': 'shopping mall'}]",In what environment would you find a marmoset?,"['marmoset', 'environment']"
70,6b080789e4d841e70d88edd828f9e464,baseball,"[{'label': 'A', 'text': 'hard'}, {'label': 'B', 'text': 'break window'}, {'label': 'C', 'text': 'round'}, {'label': 'D', 'text': 'fly in sky'}, {'label': 'E', 'text': 'fun to play'}]",What about a baseball makes it roll?,"['roll', 'baseball', 'makes']"
71,2eaa592ef41f55bd626d2b1d72f6aea3,darkness,"[{'label': 'A', 'text': 'bed'}, {'label': 'B', 'text': 'movies'}, {'label': 'C', 'text': 'moon'}, {'label': 'D', 'text': 'cellar'}, {'label': 'E', 'text': 'moving'}]",Billy didn't like the darkness.  It was so dark that he couldn't make out any action.  He thought that these would be better quality.,"['darkness', 'dark', 'billy', 'quality', 'couldn']"
72,40041ef429ed015f329ffa3aef7b3476,cup,"[{'label': 'A', 'text': 'kitchen cabinet'}, {'label': 'B', 'text': 'drawers'}, {'label': 'C', 'text': 'closet'}, {'label': 'D', 'text': 'restaurant'}, {'label': 'E', 'text': 'apartment'}]",Where do people keep cups?,"['cups', 'people']"
73,1830737fdb09847324ddaf8e11bf4269,landing,"[{'label': 'A', 'text': 'airport'}, {'label': 'B', 'text': 'ladder'}, {'label': 'C', 'text': 'stairwell'}, {'label': 'D', 'text': 'apartment building'}, {'label': 'E', 'text': 'ocean'}]",Where would you be landing if you were descending from a flight?,"['landing', 'descending', 'flight']"
74,3dc165719e917dbb6a8f901d6b1e02a6,mammoth,"[{'label': 'A', 'text': 'forest'}, {'label': 'B', 'text': 'wild'}, {'label': 'C', 'text': 'zoo'}, {'label': 'D', 'text': 'movie'}, {'label': 'E', 'text': 'ancient times'}]",Where was there previously a mammoth?,"['mammoth', 'previously']"
75,5e186319d14b1a8d6dee464e3680036b,index card,"[{'label': 'A', 'text': 'card catalogue'}, {'label': 'B', 'text': 'fileing cabnet'}, {'label': 'C', 'text': 'oral report'}, {'label': 'D', 'text': 'draw pictures'}, {'label': 'E', 'text': 'library'}]","If someone is standing in front of the class with index cards, what are they doing?","['class', 'cards', 'index', 'standing', 'doing']"
76,b6717893b27f6c05c619684eb15690f2,barbershop,"[{'label': 'A', 'text': 'razor'}, {'label': 'B', 'text': 'city'}, {'label': 'C', 'text': 'shopping mall'}, {'label': 'D', 'text': 'barber college'}, {'label': 'E', 'text': 'village'}]",Where could you find more than a few barbershop?,['barbershop']
77,e0c1481f8e7353d7ba82f98429d3e7b0,analysing,"[{'label': 'A', 'text': 'forget'}, {'label': 'B', 'text': 'discovering truth'}, {'label': 'C', 'text': 'enlightened'}, {'label': 'D', 'text': 'new knowledge'}, {'label': 'E', 'text': 'learn more about'}]",Sarah was analyzing the evidence because she didn't think she knew enough regarding it.   She wanted to do what?,"['sarah', 'analyzing', 'evidence', 'think', 'knew']"
78,b370186aefb03b810418051a7c3ea2f5,koala,"[{'label': 'A', 'text': 'africa'}, {'label': 'B', 'text': 'great outdoors'}, {'label': 'C', 'text': 'queensland'}, {'label': 'D', 'text': 'jungle'}, {'label': 'E', 'text': 'wilderness'}]",A koala lives alone.  How might you describe its habitat?,"['koala', 'habitat', 'lives']"
