,question.stem,keywords,answer
40,Where is a bald eagle safe?,"['eagle', 'bald', 'safe']",wildlife refuge
41,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?","['microtransactions', 'child', 'game', 'parents', 'free']",paying
42,What kind of driving leads to accidents?,"['driving', 'accidents', 'leads', 'kind']",dangerous
43,What is eating too much dinner likely to result in?,"['dinner', 'eating', 'likely', 'result']",stomach ache
44,What is a person chatting with friends likely hoping to accomplish?,"['chatting', 'friends', 'accomplish', 'person', 'hoping']",social bonding
45,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?","['jame', 'sunshine', 'feet', 'walked', 'burned']",street
46,"A fox was thirsty searching for water during the drought, where was he?","['drought', 'fox', 'thirsty', 'water', 'searching']",california
47,What might be the result of a season of successful skiing?,"['skiing', 'season', 'result', 'successful']",healthy body
48,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?","['sensor', 'alarm', 'distance', 'installation', 'explained']",proximity
49,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?","['lunch', 'rushed', 'eating', 'watch', 'rush']",late for work
50,"The evacuation became mandatory, so what came on the TV?","['evacuation', 'tv', 'came', 'mandatory']",advisory
51,The person gave a good hands on what to show how to do the work?,"['hands', 'work', 'gave', 'person', 'good']",demonstration
52,Where would you see some people doing jumping jacks?,"['jumping', 'jacks', 'people', 'doing']",military base
53,"The body guard was good at his duties, he made the person who hired him what?","['guard', 'duties', 'body', 'person', 'hired']",feel safe
54,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,","['languages', 'misinterpretation', 'learning', 'immersion', 'mistakes']",frustration
55,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?","['jim', 'cops', 'killing', 'people', 'did']",get arrested
56,Where is there usually a fiddle playing?,"['fiddle', 'playing', 'usually']",orchestra
57,What is the only was to recover from exhaustion?,"['exhaustion', 'recover']",have rest
58,What would you do if you want to be able to earn money?,"['earn', 'money', 'want', 'able']",apply for job
59,What is a grumpy person likely to have?,"['grumpy', 'person', 'likely']",headache
60,What do drugs do?,['drugs'],cause accidents
61,A beaver can destroy a machines functionality if they build their dam in this?,"['beaver', 'dam', 'machines', 'functionality', 'destroy']",millpond
62,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?","['booze', 'drinks', 'things', 'hash', 'close']",reach tentative agreement
63,Where could a fungus grow and not be disturbed by sunlight?,"['fungus', 'sunlight', 'grow', 'disturbed']",under rocks
64,Can you name a good reason for attending school?,"['school', 'reason', 'attending', 'good']",get smart
65,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,"['kentucky', 'alabama', 'south', 'fiddle', 'state']",tennessee
66,"Though she made the cut years ago, its figurative scars would never what?","['scars', 'cut', 'years', 'figurative', 'ago']",heal
67,What does sex often make happen in people?,"['sex', 'happen', 'people', 'does', 'make']",feel good
68,Where would you see people in uniform playing with a ball?,"['ball', 'uniform', 'playing', 'people']",sporting event
69,What kind of place could have a seafood restaurant?,"['seafood', 'restaurant', 'place', 'kind']",city
70,Who was the head of the branch yelling at?,"['branch', 'yelling', 'head']",subordinate
71,"He made another call, he did this all day hoping people would what well to his offer?","['did', 'hoping', 'offer', 'day', 'people']",respond
72,"She needs to visit a bookshop after buying the latest fashion, where should she look?","['bookshop', 'fashion', 'visit', 'buying', 'look']",mall
73,Where could you see an advertisement while reading news?,"['advertisement', 'news', 'reading']",web page
74,What is required to be good at playing tennis?,"['tennis', 'playing', 'required', 'good']",skill
75,What state is the John Davis  Lodge toll road found in?,"['toll', 'lodge', 'road', 'state', 'john']",connecticut
76,"The man went to clown college, he had always want to run away with the what?","['clown', 'college', 'away', 'run', 'man']",circus
77,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?","['waist', 'jamie', 'reduce', 'efforts', 'miserably']",gain weight
78,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,"['james', 'consciousness', 'frightened', 'scared', 'felt']",death
79,"If someone is aloof and self-important, what is their experience when meeting people?","['aloof', 'meeting', 'self', 'experience', 'people']",being bored
80,"He was receiving workman's compensation, he had tripped over a metal rod while building where?","['compensation', 'workman', 'tripped', 'building', 'metal']",
81,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,"['communicating', 'communicate', 'slowed', 'time', 'john']",progress
82,When you play around with your dog they will have?,"['dog', 'play']",fun
83,Where would a person keep a book while it's being read?,"['book', 'read', 'person']",desk
84,"The student needed to  get some new pencils, where did he go?","['pencils', 'student', 'new', 'needed', 'did']",store
85,"She loved buying products, she was driven by her what to shop more than any practical needs?","['shop', 'products', 'needs', 'buying', 'practical']",desire
86,How does getting paid feel?,"['feel', 'getting', 'paid', 'does']",satisfaction
87,"The fat man refused to accept what was possible, he complained that he what the simplest activities?","['fat', 'activities', 'simplest', 'complained', 'man']",cant do
88,Where can meat last a long time?,"['meat', 'long', 'time']",freezer
89,What group of musicians will include someone playing the cello?,"['cello', 'musicians', 'group', 'playing', 'include']",symphony
90,Where do bees congregate with red flowerS?,"['bees', 'flowers', 'red', 'congregate']",rose garden
91,What is someone who gets angry after getting drunk likely to participate in?,"['drunk', 'angry', 'participate', 'likely', 'gets']",violence
92,"The teacher told all the students that listening was key, it was the main way they would gain what?","['listening', 'teacher', 'students', 'key', 'gain']",knowlege
93,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,"['stanley', 'dream', 'scary', 'vivid', 'telling']",reality
94,The city's community garden was demolished for yet another what?,"['garden', 'demolished', 'community', 'city']",parking lot
95,WHat do cats get into when they are ripping things apart?,"['cats', 'things', 'ripping', 'apart']",
96,What is a good result of losing weight?,"['weight', 'losing', 'result', 'good']",healthier
97,A person lived in my what?,"['person', 'lived']",garage
98,"The skin was cut while chopping onions, where was this skin likely cut?","['skin', 'onions', 'cut', 'chopping', 'likely']",finger
99,What might you feel after doing housework for hours?,"['housework', 'hours', 'feel', 'doing']",stress
100,"The accountant used a calculator regularly, he kept one at home and one at the what?","['calculator', 'accountant', 'used', 'home', 'regularly']",office
101,At the end of your meal what will a waiter do?,"['waiter', 'meal', 'end']",present bill
102,"If you aren't glad, unhappy or gloomy, what illness may you have?","['illness', 'unhappy', 'gloomy', 'aren', 'glad']",depressed
103,You can hear testimony of how spirituality changes lives when you do what?,"['spirituality', 'testimony', 'lives', 'changes', 'hear']",go to church
104,"It was a great rest, she had never felt this much what in the morning?","['morning', 'rest', 'felt', 'great']",wakefulness
105,Which region has the most famous temple?,"['temple', 'region', 'famous']",middle east
106,Where would you find a bee gathering pollen?,"['bee', 'pollen', 'gathering']",field of flowers
107,Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,"['chair', 'doors', 'folding', 'house', 'plan']",closet
108,"If you're speaking to a lawyer about getting a divorce, what relationship status are you trying to end?","['divorce', 'lawyer', 'relationship', 'status', 'speaking']",being married
109,How do geese normally get from place to place?,"['geese', 'place', 'normally']",fly
110,John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,"['punching', 'knuckles', 'john', 'bloodying', 'wall']",hands
111,"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?","['dog', 'indoors', 'space', 'small', 'felt']",big house
112,WHat leads to someone's death when they are very depressed?,"['death', 'depressed', 'leads']",suicide
113,"She was sick and staying in bed the day of the event, unfortunately this meant she was what?","['event', 'bed', 'day', 'sick', 'unfortunately']",missing out
114,Where would a lizard surprise a person?,"['lizard', 'surprise', 'person']",garden
115,"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?","['bring', 'food', 'hosting', 'wasn', 'game']",
116,Who is likely yo have a caring heart?,"['caring', 'heart', 'yo', 'likely']",person
117,"I'm looking for alcohol and fried foods, any suggestions?","['foods', 'suggestions', 'alcohol', 'fried', 'looking']",pub
118,"If I had a jar which was likely to spoil if left out, where would I want to put it?","['jar', 'spoil', 'left', 'want', 'likely']",refrigerator
119,Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,"['sam', 'sushi', 'paris', 'blowfish', 'place']",france
120,What will happen to skin pinched in something?,"['pinched', 'skin', 'happen']",feel pressure
121,"Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.","['kite', 'string', 'spool', 'sally', 'slipped']",
122,"The man uses grooming before a job interview, what is he trying to portray?","['grooming', 'interview', 'job', 'portray', 'man']",neatness
123,Where would there be many people sitting in chair and listening to religious speech?,"['religious', 'speech', 'sitting', 'chair', 'listening']",synagogue
124,Where is a tabby cat likely to be happiest?,"['tabby', 'cat', 'happiest', 'likely']",lap
125,East coast areas such as Florida are found where?,"['coast', 'florida', 'east', 'areas']",united states
126,"To learn must have the right book, to work efficiently what must one have?","['learn', 'efficiently', 'work', 'book', 'right']",have tools
127,What is a mobile launching platform found in the ocean?,"['ocean', 'launching', 'platform', 'mobile']",aircraft carrier
128,There weren't potatoes but actually a snake in his what?,"['potatoes', 'snake', 'actually', 'weren']",burlap sack
129,What could listening to music cause you to be?,"['music', 'listening', 'cause']",calm
130,"If you want to make a big splash in a river with a rock, from where should you throw it?","['splash', 'river', 'rock', 'throw', 'big']",bridge
131,What is committing perjury likely to lead to?,"['perjury', 'committing', 'likely', 'lead']",arrest
132,"The new play was the go to performance of the year, all the crowds would stand and what?","['crowds', 'play', 'stand', 'performance', 'new']",applaud
133,"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?","['example', 'apples', 'tree', 'apple', 'fall']",math problem
134,Where are people likely to find food?,"['food', 'people', 'likely']",supermarket
135,What might a kid do with his friend before going to play?,"['play', 'kid', 'friend', 'going']",meet
136,What is a person who is well educated?,"['educated', 'person']",knowledgable
137,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?","['ben', 'alcoholic', 'accident', 'years', 'mistake']",
138,Where do you buy tickets at a ticket booth for games/,"['tickets', 'ticket', 'booth', 'games', 'buy']",fairgrounds
139,A soccer field that is not contained in a building would be where?,"['soccer', 'field', 'building', 'contained']",outside
140,Letters are sometimes delivered by hand through one of these.,"['letters', 'hand', 'delivered']",front door
141,John came to see Sam and Sam kicked him out.  Sam didn't like company.  He prefered what?,"['sam', 'john', 'kicked', 'company', 'like']",solitude
142,"If somebody likes temperatures cool, they might have more than one electric fan where?","['fan', 'temperatures', 'electric', 'likes', 'somebody']",home
143,"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?","['diving', 'consciousness', 'jumped', 'plane', 'scared']",falling down
144,"The president had to make a decision regarding the hate attack on his country, what did he do?","['attack', 'president', 'hate', 'decision', 'country']",wage war
145,What's it called when you have seen something through an eyepiece?,"['eyepiece', 'seen', 'called']",sights
146,"He had done a great job with the scary decorations, they were completely what?","['decorations', 'scary', 'completely', 'great', 'job']",horrible
147,"If you did well on the test, you might get an A as a what?","['test', 'did']",school grade
148,If you tell you boss your suffering from boredom they'll likely tell you to get back to what?,"['boredom', 'boss', 'tell', 'suffering', 'll']",work
149,What is a good result of jogging?,"['jogging', 'result', 'good']",improved health
150,What is done to wood to attach something to it?,"['wood', 'attach']",nailed
151,Where is a fox likely to be caught?,"['fox', 'caught', 'likely']",grassy field
152,Where do you put a new dining table?,"['table', 'dining', 'new']",house
153,"Sometimes fighting inflation isn't even what, because it is so negligible?","['inflation', 'negligible', 'fighting', 'isn']",not noticeable
154,What is likely to have more than one level in a city?,"['city', 'level', 'likely']",
155,Where is likely to have a lot of fire extinguishers?,"['extinguishers', 'lot', 'likely']",hospital
156,Where would someone learn to play an upright piano?,"['piano', 'upright', 'play', 'learn']",music class
157,What is necessary for learning by yourself?,"['learning', 'necessary']",study
158,"John and Jane were a couple.  They were dating for a while and wanted to be together for even longer. For this reason, they did what?","['jane', 'john', 'couple', 'dating', 'reason']",plan to marry
159,What emotion does getting paid lead to?,"['emotion', 'getting', 'paid', 'lead', 'does']",happiness
160,Who is likely going in to a market?,"['market', 'likely', 'going']",that you
161,What is a characteristic of thin glass?,"['glass', 'characteristic']",break easily
162,What do you get for not moving your car during the required time?,"['car', 'moving', 'time', 'required']",ticket
163,"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?","['feet', 'barefoot', 'running', 'shoes', 'run']",city block
164,Where would you be able to hear a bassoon played in an unpleasing fashion?,"['bassoon', 'unpleasing', 'hear', 'played', 'able']",high school band
165,John loved competing because he was very competitive.  He liked being about to divide people into what categories?,"['competing', 'competitive', 'john', 'categories', 'divide']",winners and losers
166,The game was on sale.  I got it then because it was usually what?,"['sale', 'game', 'usually', 'got']",expensive
167,What could a massive building be if it is not constructed well?,"['building', 'constructed', 'massive']",insubstantial
168,Where could a printer be used by thousands of people?,"['printer', 'thousands', 'people', 'used']",school
169,What could prevent someone from buying chistmas presents?,"['chistmas', 'presents', 'buying', 'prevent']",lack of money
170,What is the hope of playing sports without competition?,"['sports', 'competition', 'playing', 'hope']",have fun
171,"They moved out of the city to have a master bedroom, what kind of home did they seek?","['bedroom', 'home', 'city', 'moved', 'master']",suburban home
172,What could you add a line to?,"['line', 'add']",graph
173,Joe bought a ficus.  He thought it would look good in what part of his home?,"['ficus', 'home', 'joe', 'look', 'thought']",family room
174,"Sarah wanted to by a new rug.  Ink spilled onto her old one.  Really, she didn't know what that thing had an inkwell in the first place.  What piece of furniture might have been on her run?","['furniture', 'rug', 'ink', 'spilled', 'inkwell']",desk
175,"When people discover something new while chatting with friends, why are they likely to continue talking?","['chatting', 'talking', 'friends', 'discover', 'continue']",learning about
176,How can one's views change after learning about science?,"['science', 'change', 'learning', 'views']",see things differently
177,"Traveling underwater has many dangers, such as low visibility causing what?","['underwater', 'visibility', 'dangers', 'traveling', 'causing']",disorientation
178,Where are people likely to stand at an intersection?,"['intersection', 'stand', 'people', 'likely']",street corner
179,Janet knew she was dying from her injuries because she could feel herself doing what?,"['janet', 'dying', 'feel', 'injuries', 'knew']",getting cold
180,"An expressway can suffer from traffic, this traffic gets worse the closer you get to any what?","['expressway', 'traffic', 'closer', 'gets', 'suffer']",american city
181,Where are there more telephone booths?,"['telephone', 'booths']",city
182,"John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?","['job', 'moved', 'john', 'upset', 'family']",closer
183,"James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?","['acoustic', 'guitar', 'alexa', 'electric', 'james']",music shop
184,What can someone feeling happiness fall into?,"['happiness', 'feeling', 'fall']",love
185,How might a person address someone who is leaving?,"['leaving', 'person', 'address']",wave goodbye
186,What does a chef do when working in the evening?,"['chef', 'working', 'evening', 'does']",cook dinner
187,What would happen to a person if his or her money is stolen?,"['stolen', 'money', 'person', 'happen']",feel angry
188,"The people in class were instructed to brainstorm ideas, how would they use their minds for this?","['brainstorm', 'ideas', 'minds', 'class', 'people']",think creatively
189,Someone lacking immortality will one day be?,"['immortality', 'lacking', 'day']",dead
190,"After his mother saw his report card he knew he was going to be doing housework, what could have prevented this?","['housework', 'mother', 'prevented', 'report', 'knew']",getting good grades
191,Glass that hasn't been treated to be extra strong is what?,"['glass', 'strong', 'treated', 'extra', 'hasn']",fragile
192,If you've thrown a rod you've done damage to what?,"['damage', 'thrown', 'rod', 've']",engine
193,What enables most people to transport themselves?,"['transport', 'people', 'enables']",own cars
194,What do people in the same family often share?,"['family', 'share', 'people']",names
195,What is an area with no grass where I can get things to sell at a roadside stand?,"['grass', 'roadside', 'area', 'sell', 'stand']",garden
196,Where do kids find fish in their backyards?,"['fish', 'backyards', 'kids']",pond
197,Where must one wear a white shoe?,"['shoe', 'wear', 'white']",wedding
198,"James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?","['cards', 'james', 'print', 'chose', 'personal']",hand written
199,"They checked the weather one more time during the flight, they were on their way to paradise and wanted it to what?","['flight', 'paradise', 'weather', 'time', 'way']",look beautiful
200,What are you hoping to achieve when talking to someone?,"['talking', 'achieve', 'hoping']",communicating with others
201,What place of work might you find a hairpin?,"['hairpin', 'work', 'place']",
202,What can go on a football field?,"['football', 'field']",players
203,What has a master of their craft done about that craft?,"['craft', 'master']",learn
204,If your watching television and accomplish nothing what have you done?,"['television', 'watching', 'accomplish']",wasted time
205,"He was in a cabin in the woods, through the window he saw a fox where?","['cabin', 'fox', 'woods', 'window', 'saw']",outside
206,"The hippy wanted peace with all humans, he had strong what for them all?","['hippy', 'peace', 'humans', 'strong', 'wanted']",feelings
207,"He was a very sharp engineer, but when it came to the details his calculations could were often what?","['engineer', 'calculations', 'sharp', 'details', 'came']",inaccurate
208,In the middle of the day what will someone do because of being hungry?,"['hungry', 'day', 'middle']",have lunch
209,"John enjoyed his time visiting the museum.  He wanted to spend more time there, so that he could study the exhibits more.   He was a very academic person and loved doing what?","['exhibits', 'museum', 'academic', 'study', 'john']",gaining knowledge
210,What will telling many people about an embarrassing situation lead to?,"['embarrassing', 'telling', 'situation', 'people', 'lead']",emotional distress
211,"The electric motor powered many important things, including one if almost every house. Name this item?","['motor', 'electric', 'house', 'powered', 'things']",electric refrigerator
212,Where can peanut butter be stored?,"['butter', 'peanut', 'stored']",pantry
213,Where would you play a board game with your family?,"['board', 'play', 'game', 'family']",home
214,James needed a garage because he spent a lot of money on what?,"['garage', 'james', 'money', 'lot', 'spent']",car
215,"If I am a person, I have a unique ability to do what?","['ability', 'person', 'unique']",stand upright
216,"Two friends wanted to spend a quiet evening together, what did they go see?","['friends', 'quiet', 'evening', 'spend', 'did']",
217,"If an animal is tired, what is it likely to do?","['tired', 'animal', 'likely']",lie down
218,Where would you sit in a chair to watch four-legged animals complete?,"['chair', 'sit', 'animals', 'legged', 'watch']",
219,If you were looking for a lemur where would you find it?,"['lemur', 'looking']",field
220,John ran out of pencils.  Where did  he go to get more?,"['pencils', 'john', 'ran', 'did']",office depot
221,When would you be able to see your reflection in a piece of wood?,"['reflection', 'wood', 'piece', 'able']",polished
222,What emotion do people expressing themselves show when they trip in front of a crowd and break their leg?,"['emotion', 'crowd', 'leg', 'people', 'expressing']",embarrassment
223,"He waited for his friend at the squash court, but he was worried his friend thought he meant the at the other end of the public what?","['squash', 'meant', 'friend', 'court', 'end']",
224,When you plant a garden you can harvest what to eat?,"['harvest', 'garden', 'plant', 'eat']",vegetable
225,Where is basketball court likely to be outdoors?,"['basketball', 'outdoors', 'court', 'likely']",city
226,What could a balalaika be needed for?,"['balalaika', 'needed']",symphony
227,What type of home is most likely to have an attic filled with historical items?,"['attic', 'historical', 'items', 'home', 'filled']",victorian house
228,"Jackson is a popular city name, but the one with a governor's office is where?","['jackson', 'governor', 'city', 'office', 'popular']",mississippi
229,Where is microphone boom likely to be used to record an album?,"['microphone', 'album', 'record', 'boom', 'likely']",recording studio
230,What is the worst outcome of an injury?,"['injury', 'outcome', 'worst']",cause death
231,How is someone who loves their TV likely to feel about their remote?,"['remote', 'tv', 'feel', 'loves', 'likely']",attached
232,"The man wanted to take a bus, but all the chars were full of people doing what?","['bus', 'chars', 'people', 'man', 'doing']",sitting down
233,"Bob thought that his Pokemon cards were common and worthless, but he was wrong about them. They were really what?","['pokemon', 'cards', 'bob', 'worthless', 'common']",rare
234,"A wife asks a husband to stop being married to her, what is he likely to feel even with friends?","['husband', 'wife', 'married', 'friends', 'feel']",grief
235,"The camper looked up at the vast night sky, it left him feeling mighty what?","['camper', 'vast', 'night', 'mighty', 'sky']",insignificant
236,"Though nearby, an apple from an apple tree where would be an imported product to the USA?","['apple', 'usa', 'nearby', 'tree', 'imported']",canada
237,"The old man was retired and liked the simple things, he would do crossword puzzle every morning simply just to do what?","['crossword', 'puzzle', 'old', 'things', 'simple']",
238,What would you change the learning process to be if someone does not like learning?,"['learning', 'change', 'process', 'like', 'does']",fun
239,To properly instruct children attending school you would need a great deal of what?,"['instruct', 'children', 'school', 'attending', 'need']",patience
240,If done correctly grooming pet's nails generally does not cause this?,"['nails', 'grooming', 'pet', 'cause', 'generally']",injury
241,"The man was cleaning clothes for his date, what was he looking to achieve?","['cleaning', 'clothes', 'date', 'looking', 'man']",attractive appearance
242,"The person was looking up airline and hotel prices, what was he looking to do?","['airline', 'hotel', 'prices', 'looking', 'person']",go on vacation
243,"The person put on lotion, what did they want?","['lotion', 'person', 'want', 'did']",smooth skin
244,"Eating breakfast in bed can make you feel what, assuming that you don't spill anything?","['breakfast', 'bed', 'eating', 'spill', 'feel']",contentment
245,What would an adult man do to get ready for work?,"['work', 'adult', 'man', 'ready']",dress himself
246,"The woman picked from an apple tree while surrounded by other trees, where was she?","['tree', 'trees', 'woman', 'apple', 'picked']",
247,"Mom is tidying a house, where would she put the loose dictionary?","['tidying', 'mom', 'house', 'dictionary', 'loose']",shelf
248,"The judge did not take this part of the job lightly, the man was guilty but it was his passing sentence that condemned the man to what?","['judge', 'condemned', 'guilty', 'sentence', 'job']",death
249,Simon bought a cow because he wanted to put it to work.   He didn't want any meat for it.  Where might Simon be taking the cow?,"['cow', 'simon', 'meat', 'work', 'taking']",dairy farm
250,What would children do if they are bored?,"['children', 'bored']",play tag
251,Behind what small door are canned goods usually kept in?,"['door', 'canned', 'usually', 'small', 'goods']",cupboard
252,"While laid up in the hospital she tried remembering good times, like that massage on vacation that brought great what?","['remembering', 'massage', 'vacation', 'hospital', 'times']",pleasure
253,"If I want to maximize my number of potential customers, where should I build a new department store?","['store', 'customers', 'maximize', 'department', 'build']",big city
254,Where is a good place to get a ball?,"['ball', 'place', 'good']",
255,What common chemical reaction is often used as a heat source?,"['chemical', 'heat', 'reaction', 'common', 'used']",fire
256,Where could you put a dollar that would make it hard to get out without breaking?,"['dollar', 'breaking', 'make', 'hard']",piggy bank
257,"I'm at a restaurant ans want a glass of milk, how do I find out if they serve that?","['milk', 'restaurant', 'glass', 'serve', 'want']",menu
258,What could contain no more than around 100 people?,"['people', 'contain', '100']",classroom
259,"John joined the army because he wanted to see the world.  When the fighting started, he only saw what sort of things?","['john', 'army', 'fighting', 'things', 'saw']",battlefield
260,where do children play a game?,"['play', 'game', 'children']",family room
261,What could happen after driving car that does not involve pain?,"['driving', 'pain', 'car', 'happen', 'does']",getting tired
262,In what place could you find air that has been breathed by only a few people recently?,"['air', 'breathed', 'place', 'people', 'recently']",house
263,what happens to a company when it is bankrupt?,"['bankrupt', 'company', 'happens']",liquidated
264,Blood isn't usually spilled during what sport that doesn't allow the use of hands?,"['sport', 'hands', 'blood', 'spilled', 'usually']",soccer game
265,"The dog ran to the front window and barked, this is because of a presence at the what?","['barked', 'dog', 'window', 'presence', 'ran']",
266,Where would you find a sign with some people lined up next to it?,"['sign', 'people', 'lined']",bus stop
267,Sometimes it felt like being able to pay bills was the only reason he was actively what?,"['pay', 'bills', 'actively', 'felt', 'reason']",making money
268,John just made first violin.  This is  is a position on what?,"['violin', 'position', 'john', 'just']",symphony orchestra
269,Where can someone keep a digital file?,"['file', 'digital']",computer
270,What appliance uses water and soap?,"['soap', 'appliance', 'water', 'uses']",washing machine
271,"I am looking to buy honey right from an apiary, where should I go?","['honey', 'apiary', 'buy', 'looking', 'right']",
272,Where would someone likely bring an attache case?,"['attache', 'bring', 'case', 'likely']",business meeting
273,"i like to examine different things,why do books the chapters on the back","['chapters', 'books', 'examine', 'things', 'like']",read book
