,answerKey,id,question.question_concept,question.choices,question.stem,keywords
16,E,a76403b4921a9281b6ee2a7241a5ec9f,grill,"[{'label': 'A', 'text': 'backyard'}, {'label': 'B', 'text': 'restaurant'}, {'label': 'C', 'text': 'crockpot'}, {'label': 'D', 'text': ""neighbor's house""}, {'label': 'E', 'text': 'barbeque'}]",What is it called when you slowly cook using a grill?,"['grill', 'cook', 'slowly', 'using', 'called']"
17,D,ad96098698b8378b2e79c6424920ffbd,illness,"[{'label': 'A', 'text': 'hospital'}, {'label': 'B', 'text': 'head'}, {'label': 'C', 'text': 'sick person'}, {'label': 'D', 'text': 'elderly person'}, {'label': 'E', 'text': ""doctor's office""}]",What type of person typically contracts illness?,"['illness', 'person', 'typically', 'contracts', 'type']"
18,D,6d4ed2c485187ed79ff3bdcc8cca6132,pizzeria,"[{'label': 'A', 'text': 'chicago'}, {'label': 'B', 'text': 'street'}, {'label': 'C', 'text': 'little italy'}, {'label': 'D', 'text': 'food court'}, {'label': 'E', 'text': 'capital cities'}]",Where would you expect to find a pizzeria while shopping?,"['pizzeria', 'shopping', 'expect']"
19,B,a40f5339ee858a0a119cbac052c5a2d0,eating,"[{'label': 'A', 'text': 'full stomach'}, {'label': 'B', 'text': 'getting full'}, {'label': 'C', 'text': 'gaining weight'}, {'label': 'D', 'text': 'sick'}, {'label': 'E', 'text': 'satisfaction'}]","When eating everything on the tasting menu, what does one tend to feel?","['tasting', 'eating', 'menu', 'feel', 'does']"
20,E,4850bf8b6b309548ef623d5592ffbca2,playing soccer,"[{'label': 'A', 'text': 'excitement'}, {'label': 'B', 'text': 'fatigue'}, {'label': 'C', 'text': 'anger'}, {'label': 'D', 'text': 'hurting'}, {'label': 'E', 'text': 'getting tired'}]",What does playing soccer for a long time lead to?,"['soccer', 'playing', 'long', 'time', 'lead']"
21,B,e6d99b4b76f74961a400ad0001b13b73,back,"[{'label': 'A', 'text': 'side'}, {'label': 'B', 'text': 'main'}, {'label': 'C', 'text': 'anterior'}, {'label': 'D', 'text': 'current'}, {'label': 'E', 'text': 'front'}]",Which entrance would you use if you do not want to use the back entrance?,"['entrance', 'use', 'want']"
22,D,f5950a62f9eaae34f1e914b3cf5208cf,connection,"[{'label': 'A', 'text': 'freeway'}, {'label': 'B', 'text': 'radio'}, {'label': 'C', 'text': 'wires'}, {'label': 'D', 'text': 'computer network'}, {'label': 'E', 'text': 'electrical circuit'}]",You can share files with someone if you have a connection to a what?,"['files', 'share', 'connection']"
23,E,f36489668c28b26c0cdbc56cec1db27b,accelerator,"[{'label': 'A', 'text': 'car'}, {'label': 'B', 'text': 'fuel system'}, {'label': 'C', 'text': 'accelerate'}, {'label': 'D', 'text': 'boat'}, {'label': 'E', 'text': 'airplane'}]","The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?","['pedals', 'steering', 'controller', 'throttle', 'accelerator']"
24,C,0476192858e7f541611b5c2d3c5e5197,lying,"[{'label': 'A', 'text': 'the reward money'}, {'label': 'B', 'text': 'hurt feelings'}, {'label': 'C', 'text': 'being found out'}, {'label': 'D', 'text': 'problems'}, {'label': 'E', 'text': 'trouble'}]","Sean was lying about the body, but he was very scared.  He constantly worried about what?","['sean', 'lying', 'scared', 'worried', 'body']"
25,D,df7861813910ae204c3bd0b3c16fe5d9,run errands,"[{'label': 'A', 'text': 'park'}, {'label': 'B', 'text': 'make time for'}, {'label': 'C', 'text': 'receive instructions'}, {'label': 'D', 'text': 'take money'}, {'label': 'E', 'text': 'leave work'}]","The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?","['errands', 'code', 'dealers', 'drug', 'kingpin']"
26,D,c12a904025471139df4f8860cc380c60,rest,"[{'label': 'A', 'text': 'walk'}, {'label': 'B', 'text': 'lay down'}, {'label': 'C', 'text': 'working'}, {'label': 'D', 'text': 'moving'}, {'label': 'E', 'text': 'exercise'}]","Though he could've kept going his body appreciated the rest, it had been constantly what during the day?","['rest', 'day', 'constantly', 'body', 'kept']"
27,D,a69bd1bf3c06a233d696a00d71a9db36,snake,"[{'label': 'A', 'text': 'ditch'}, {'label': 'B', 'text': 'shop'}, {'label': 'C', 'text': 'north america'}, {'label': 'D', 'text': 'pet shops'}, {'label': 'E', 'text': 'outdoors'}]",Too many people want exotic snakes.  The demand is driving what to carry them?,"['snakes', 'exotic', 'demand', 'carry', 'want']"
28,E,84e983f432647531b55b8b72c12fb78a,stabbing to death,"[{'label': 'A', 'text': 'knife wounds'}, {'label': 'B', 'text': 'buy a gun'}, {'label': 'C', 'text': 'bleeding'}, {'label': 'D', 'text': 'jail time'}, {'label': 'E', 'text': 'law suit'}]","Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?","['joe', 'stabbing', 'family', 'victim', 'suffered']"
29,A,68f123f22be7bff13875e8b752b2d933,dust,"[{'label': 'A', 'text': 'television'}, {'label': 'B', 'text': 'attic'}, {'label': 'C', 'text': 'corner'}, {'label': 'D', 'text': 'they cannot clean corner and library during football match they cannot need that'}, {'label': 'E', 'text': 'ground'}]",To prevent any glare during the big football game he made sure to clean the dust of his what?,"['dust', 'glare', 'clean', 'football', 'game']"
30,C,c9580b132b323906f0d51e7dc5b4ce29,express information,"[{'label': 'A', 'text': 'write an essay'}, {'label': 'B', 'text': 'organize thoughts'}, {'label': 'C', 'text': 'speak information'}, {'label': 'D', 'text': 'summarize main points'}, {'label': 'E', 'text': 'have information'}]","I have something in my head I want to share, what ways can I do that?","['share', 'head', 'want', 'ways']"
31,B,80930e9df9ac4ad752749a54e7fc124f,house,"[{'label': 'A', 'text': 'neighborhood'}, {'label': 'B', 'text': 'subdivision'}, {'label': 'C', 'text': 'city'}, {'label': 'D', 'text': 'suburbs'}, {'label': 'E', 'text': 'street'}]","He wanted a house that was gated off from other places, where should he start looking?","['house', 'gated', 'places', 'looking', 'wanted']"
32,D,f080ab037c1aaf689a43cc030e9d93e9,canal,"[{'label': 'A', 'text': 'michigan'}, {'label': 'B', 'text': 'new york'}, {'label': 'C', 'text': 'amsterdam'}, {'label': 'D', 'text': 'venice'}, {'label': 'E', 'text': 'bridge'}]",Where in Southern Europe would you find many canals?,"['canals', 'europe', 'southern']"
33,D,a261d4eaf8b33c0730d830ebbffbd9f8,camper,"[{'label': 'A', 'text': 'make breakfast'}, {'label': 'B', 'text': 'go hiking'}, {'label': 'C', 'text': 'pack or bag'}, {'label': 'D', 'text': 'light fire'}, {'label': 'E', 'text': 'grab a match'}]",What would a camper need to do before he or she can start cooking food?,"['camper', 'cooking', 'food', 'start', 'need']"
34,C,bfd14dedb440ae1c266c61aa22960778,paper,"[{'label': 'A', 'text': 'one material often recycled'}, {'label': 'B', 'text': 'ripped'}, {'label': 'C', 'text': 'saturated with water'}, {'label': 'D', 'text': 'one dimensional'}, {'label': 'E', 'text': 'crumpled'}]",What could happen to a paper if you leave it outside even if it does not move?,"['paper', 'outside', 'leave', 'happen', 'does']"
35,D,5a953b5fb26f1614640574f65410e8b0,thick,"[{'label': 'A', 'text': 'blank'}, {'label': 'B', 'text': 'sparse'}, {'label': 'C', 'text': 'thin'}, {'label': 'D', 'text': 'clear'}, {'label': 'E', 'text': 'free flowing'}]","Mark's semen was very thick, but after his vasectomy it was also what?","['semen', 'vasectomy', 'mark']"
36,D,ac0351d8649fb60af40c5638061a2e21,sun,"[{'label': 'A', 'text': 'in the basement'}, {'label': 'B', 'text': 'west'}, {'label': 'C', 'text': 'solar system'}, {'label': 'D', 'text': 'beach'}, {'label': 'E', 'text': 'beans'}]",What is a great place to lay in the sun?,"['sun', 'place', 'lay', 'great']"
37,A,c8b18acf8e95172ff79b0a837e9369f3,seafood restaurant,"[{'label': 'A', 'text': 'maine'}, {'label': 'B', 'text': 'boston'}, {'label': 'C', 'text': 'beach town'}, {'label': 'D', 'text': 'coastal cities'}, {'label': 'E', 'text': 'ocean'}]",Where would you find a seafood restaurant in the east coast of North America?,"['seafood', 'coast', 'restaurant', 'north', 'east']"
38,E,7a7ff4499a7162265ddac0c3e2e8e5fc,president,"[{'label': 'A', 'text': 'walmart'}, {'label': 'B', 'text': 'white house'}, {'label': 'C', 'text': 'country'}, {'label': 'D', 'text': 'corporation'}, {'label': 'E', 'text': 'government'}]",The president is the leader of what institution?,"['president', 'leader', 'institution']"
39,D,fb721d7949d06915a2dd6fc6ec815325,watching tv,"[{'label': 'A', 'text': 'brain problems'}, {'label': 'B', 'text': 'laziness'}, {'label': 'C', 'text': 'get fat'}, {'label': 'D', 'text': 'headache'}, {'label': 'E', 'text': 'laughter'}]",Sitting to close while watching TV can cause what sort of pain?,"['pain', 'tv', 'sitting', 'watching', 'cause']"
40,D,47db2878d917ceb8d82627de4722a254,bald eagle,"[{'label': 'A', 'text': 'pine tree'}, {'label': 'B', 'text': 'open country'}, {'label': 'C', 'text': 'in washington'}, {'label': 'D', 'text': 'wildlife refuge'}, {'label': 'E', 'text': 'sky'}]",Where is a bald eagle safe?,"['eagle', 'bald', 'safe']"
41,D,f03a340e093dbd5eea88feb6507ed20e,free,"[{'label': 'A', 'text': 'costly'}, {'label': 'B', 'text': 'captive'}, {'label': 'C', 'text': 'contained'}, {'label': 'D', 'text': 'paying'}, {'label': 'E', 'text': 'caught'}]","The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?","['microtransactions', 'child', 'game', 'parents', 'free']"
42,B,5f6296570569960a05c47a2a79656363,driving,"[{'label': 'A', 'text': 'stressful'}, {'label': 'B', 'text': 'dangerous'}, {'label': 'C', 'text': 'fun'}, {'label': 'D', 'text': 'illegal'}, {'label': 'E', 'text': 'deadly'}]",What kind of driving leads to accidents?,"['driving', 'accidents', 'leads', 'kind']"
43,C,89586c4ab04f3133a2c7165322409c3d,eating dinner,"[{'label': 'A', 'text': 'tiredness'}, {'label': 'B', 'text': 'living longer'}, {'label': 'C', 'text': 'stomach ache'}, {'label': 'D', 'text': 'illness'}, {'label': 'E', 'text': 'acid reflux'}]",What is eating too much dinner likely to result in?,"['dinner', 'eating', 'likely', 'result']"
44,E,98b176ac1c91370e079863d13c7dd964,chatting with friends,"[{'label': 'A', 'text': 'gathering of information'}, {'label': 'B', 'text': 'communication'}, {'label': 'C', 'text': 'feel relaxed'}, {'label': 'D', 'text': 'kill boredom'}, {'label': 'E', 'text': 'social bonding'}]",What is a person chatting with friends likely hoping to accomplish?,"['chatting', 'friends', 'accomplish', 'person', 'hoping']"
45,D,b13d110147ecf24562b64a69df4fe5ad,sunshine,"[{'label': 'A', 'text': 'disneyland'}, {'label': 'B', 'text': 'snow'}, {'label': 'C', 'text': 'windowsill'}, {'label': 'D', 'text': 'street'}, {'label': 'E', 'text': 'summer'}]","Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?","['jame', 'sunshine', 'feet', 'walked', 'burned']"
46,C,145f1ccce9aeab854f6514f927f58288,fox,"[{'label': 'A', 'text': 'painting'}, {'label': 'B', 'text': 'hen house'}, {'label': 'C', 'text': 'california'}, {'label': 'D', 'text': 'virginia'}, {'label': 'E', 'text': 'movie hall'}]","A fox was thirsty searching for water during the drought, where was he?","['drought', 'fox', 'thirsty', 'water', 'searching']"
47,E,c428412a660f34965772a7389ce58e0a,skiing,"[{'label': 'A', 'text': 'finish line'}, {'label': 'B', 'text': 'broken bones'}, {'label': 'C', 'text': 'broken legs'}, {'label': 'D', 'text': 'chapped lips'}, {'label': 'E', 'text': 'healthy body'}]",What might be the result of a season of successful skiing?,"['skiing', 'season', 'result', 'successful']"
48,D,80f8afc17b5b5915a327240db8bc2a52,distance,"[{'label': 'A', 'text': 'near'}, {'label': 'B', 'text': 'closeness'}, {'label': 'C', 'text': 'here'}, {'label': 'D', 'text': 'proximity'}, {'label': 'E', 'text': 'this'}]","The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?","['sensor', 'alarm', 'distance', 'installation', 'explained']"
49,B,a662c9971a497d601c5be888670d10ae,eating lunch,"[{'label': 'A', 'text': 'gain weight'}, {'label': 'B', 'text': 'late for work'}, {'label': 'C', 'text': 'heartburn'}, {'label': 'D', 'text': 'bad breath'}, {'label': 'E', 'text': 'early for work'}]","The man was eating lunch, but rushed when he looked at his watch, why did he rush?","['lunch', 'rushed', 'eating', 'watch', 'rush']"
50,A,8bf8c8597dfc5e8ec72b486541338e33,mandatory,"[{'label': 'A', 'text': 'advisory'}, {'label': 'B', 'text': 'mandate'}, {'label': 'C', 'text': 'soap opera'}, {'label': 'D', 'text': 'elective'}, {'label': 'E', 'text': 'optional'}]","The evacuation became mandatory, so what came on the TV?","['evacuation', 'tv', 'came', 'mandatory']"
51,A,313b72ce5b14f3d0b86b91c7bc6497be,person,"[{'label': 'A', 'text': 'demonstration'}, {'label': 'B', 'text': 'garage'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'barn'}, {'label': 'E', 'text': 'synagogue'}]",The person gave a good hands on what to show how to do the work?,"['hands', 'work', 'gave', 'person', 'good']"
52,A,6efbe0725841b961848b6935fe67a471,people,"[{'label': 'A', 'text': 'military base'}, {'label': 'B', 'text': 'opera'}, {'label': 'C', 'text': 'water fountain'}, {'label': 'D', 'text': 'bus stop'}, {'label': 'E', 'text': 'church'}]",Where would you see some people doing jumping jacks?,"['jumping', 'jacks', 'people', 'doing']"
53,C,4163cfdd31feb277084ceb3996b3a851,person,"[{'label': 'A', 'text': 'better job'}, {'label': 'B', 'text': 'irritated'}, {'label': 'C', 'text': 'feel safe'}, {'label': 'D', 'text': 'save money'}, {'label': 'E', 'text': 'headache'}]","The body guard was good at his duties, he made the person who hired him what?","['guard', 'duties', 'body', 'person', 'hired']"
54,C,3f720c9ad7f3eb99400dd8c81fc269d8,learning language,"[{'label': 'A', 'text': 'better communication'}, {'label': 'B', 'text': 'overthinking'}, {'label': 'C', 'text': 'frustration'}, {'label': 'D', 'text': 'misunderstandings'}, {'label': 'E', 'text': 'headaches'}]","Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,","['languages', 'misinterpretation', 'learning', 'immersion', 'mistakes']"
55,D,4dbeeb50a01a3b5c9c76d1052c4b14ea,killing people,"[{'label': 'A', 'text': 'going to jail'}, {'label': 'B', 'text': 'going to prison'}, {'label': 'C', 'text': 'beat him up'}, {'label': 'D', 'text': 'get arrested'}, {'label': 'E', 'text': 'die'}]","Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?","['jim', 'cops', 'killing', 'people', 'did']"
56,C,129014ff081296c3d9bbc338c5ff32db,fiddle,"[{'label': 'A', 'text': 'music store'}, {'label': 'B', 'text': 'dance hall'}, {'label': 'C', 'text': 'orchestra'}, {'label': 'D', 'text': 'symphony'}, {'label': 'E', 'text': 'tennessee'}]",Where is there usually a fiddle playing?,"['fiddle', 'playing', 'usually']"
57,B,8f495e9bcd88ce23617197520442090c,exhaustion,"[{'label': 'A', 'text': 'mediate'}, {'label': 'B', 'text': 'have rest'}, {'label': 'C', 'text': 'stay in bed'}, {'label': 'D', 'text': 'run out of steam'}, {'label': 'E', 'text': 'go to sleep'}]",What is the only was to recover from exhaustion?,"['exhaustion', 'recover']"
58,A,6dc921840aa1e5dda3333b79007f630b,money,"[{'label': 'A', 'text': 'apply for job'}, {'label': 'B', 'text': 'stand in line'}, {'label': 'C', 'text': 'take care of proposals'}, {'label': 'D', 'text': 'pass course'}, {'label': 'E', 'text': 'play the lottery'}]",What would you do if you want to be able to earn money?,"['earn', 'money', 'want', 'able']"
59,A,c879e1677869c4d58102c608da805453,person,"[{'label': 'A', 'text': 'headache'}, {'label': 'B', 'text': 'understand themselves'}, {'label': 'C', 'text': 'compliments'}, {'label': 'D', 'text': 'own house'}, {'label': 'E', 'text': 'happiness'}]",What is a grumpy person likely to have?,"['grumpy', 'person', 'likely']"
60,E,16699879d1f1b67f1664e78324cadd65,drugs,"[{'label': 'A', 'text': 'damage'}, {'label': 'B', 'text': 'cloud mind'}, {'label': 'C', 'text': 'lower i.q'}, {'label': 'D', 'text': 'cause illness'}, {'label': 'E', 'text': 'cause accidents'}]",What do drugs do?,['drugs']
61,C,a7c9d4f6be3bb973c4ebecb1e841b3ac,beaver,"[{'label': 'A', 'text': 'strip club'}, {'label': 'B', 'text': 'pocket'}, {'label': 'C', 'text': 'millpond'}, {'label': 'D', 'text': 'ontario'}, {'label': 'E', 'text': 'lake or river'}]",A beaver can destroy a machines functionality if they build their dam in this?,"['beaver', 'dam', 'machines', 'functionality', 'destroy']"
62,A,9f84a7225b5da1e119ae54919f38ba79,booze,"[{'label': 'A', 'text': 'reach tentative agreement'}, {'label': 'B', 'text': 'suicide'}, {'label': 'C', 'text': 'examine thing'}, {'label': 'D', 'text': 'commit murder'}, {'label': 'E', 'text': 'stay in bed'}]","They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?","['booze', 'drinks', 'things', 'hash', 'close']"
63,A,70a97a0079878b3a46080d00a4e118fb,fungus,"[{'label': 'A', 'text': 'under rocks'}, {'label': 'B', 'text': 'manhattan'}, {'label': 'C', 'text': 'toenails'}, {'label': 'D', 'text': 'grocery store'}, {'label': 'E', 'text': 'fallen tree'}]",Where could a fungus grow and not be disturbed by sunlight?,"['fungus', 'sunlight', 'grow', 'disturbed']"
64,A,00dc6e53c3715d0050ffb78646cd6c7c,attending school,"[{'label': 'A', 'text': 'get smart'}, {'label': 'B', 'text': 'boredom'}, {'label': 'C', 'text': 'colds and flu'}, {'label': 'D', 'text': 'taking tests'}, {'label': 'E', 'text': 'spend time'}]",Can you name a good reason for attending school?,"['school', 'reason', 'attending', 'good']"
65,B,d829cc86312173f28b877987ae87fd7c,fiddle,"[{'label': 'A', 'text': 'alabama'}, {'label': 'B', 'text': 'tennessee'}, {'label': 'C', 'text': 'violin case'}, {'label': 'D', 'text': 'music store'}, {'label': 'E', 'text': 'bow and strings'}]",What state south of Kentucky and north of Alabama will you find people playing the fiddle?,"['kentucky', 'alabama', 'south', 'fiddle', 'state']"
66,D,223d54ae26635218666dc05f42a469e9,cut,"[{'label': 'A', 'text': 'joining'}, {'label': 'B', 'text': 'put together'}, {'label': 'C', 'text': 'stitch'}, {'label': 'D', 'text': 'heal'}, {'label': 'E', 'text': 'paste'}]","Though she made the cut years ago, its figurative scars would never what?","['scars', 'cut', 'years', 'figurative', 'ago']"
67,B,f75bb741497541837b92c4c2a113f5a4,sex,"[{'label': 'A', 'text': 'making love'}, {'label': 'B', 'text': 'feel good'}, {'label': 'C', 'text': 'happyness'}, {'label': 'D', 'text': 'wonderful thing'}, {'label': 'E', 'text': 'cloud judgment'}]",What does sex often make happen in people?,"['sex', 'happen', 'people', 'does', 'make']"
68,E,5208880ea3b34d2de7ab59aedf499225,ball,"[{'label': 'A', 'text': 'hole'}, {'label': 'B', 'text': 'television'}, {'label': 'C', 'text': 'sporting goods store'}, {'label': 'D', 'text': 'pool table'}, {'label': 'E', 'text': 'sporting event'}]",Where would you see people in uniform playing with a ball?,"['ball', 'uniform', 'playing', 'people']"
69,C,21db09783c773fed677cd5ec3b71eecf,seafood restaurant,"[{'label': 'A', 'text': 'new york'}, {'label': 'B', 'text': 'coastal cities'}, {'label': 'C', 'text': 'city'}, {'label': 'D', 'text': 'coastal cities'}, {'label': 'E', 'text': 'boston'}]",What kind of place could have a seafood restaurant?,"['seafood', 'restaurant', 'place', 'kind']"
70,C,63e0569414c0bc6e51c8c230a598ac55,head,"[{'label': 'A', 'text': 'owner'}, {'label': 'B', 'text': 'foot'}, {'label': 'C', 'text': 'subordinate'}, {'label': 'D', 'text': 'base'}, {'label': 'E', 'text': 'point'}]",Who was the head of the branch yelling at?,"['branch', 'yelling', 'head']"
71,B,142626e4fc9656c97d7d7f93822cc381,call,"[{'label': 'A', 'text': 'hang up'}, {'label': 'B', 'text': 'respond'}, {'label': 'C', 'text': 'contact'}, {'label': 'D', 'text': 'answer'}, {'label': 'E', 'text': 'attracting ducks'}]","He made another call, he did this all day hoping people would what well to his offer?","['did', 'hoping', 'offer', 'day', 'people']"
72,B,c59b184974e5f820763bd901a62a5473,bookshop,"[{'label': 'A', 'text': 'student union'}, {'label': 'B', 'text': 'mall'}, {'label': 'C', 'text': 'department store'}, {'label': 'D', 'text': 'library'}, {'label': 'E', 'text': 'town or city'}]","She needs to visit a bookshop after buying the latest fashion, where should she look?","['bookshop', 'fashion', 'visit', 'buying', 'look']"
73,D,58c3817107e323fdd7d70c4014990626,advertisement,"[{'label': 'A', 'text': 'television'}, {'label': 'B', 'text': 'bus'}, {'label': 'C', 'text': 'email'}, {'label': 'D', 'text': 'web page'}, {'label': 'E', 'text': 'la ville'}]",Where could you see an advertisement while reading news?,"['advertisement', 'news', 'reading']"
74,B,a7be27a64aad72c029f05a2c7fc6d55f,playing tennis,"[{'label': 'A', 'text': 'tennis racket'}, {'label': 'B', 'text': 'skill'}, {'label': 'C', 'text': 'competition'}, {'label': 'D', 'text': 'tennis court'}, {'label': 'E', 'text': 'legs'}]",What is required to be good at playing tennis?,"['tennis', 'playing', 'required', 'good']"
75,D,6122883c3b5cd10b59a29dbd582e19c8,toll road,"[{'label': 'A', 'text': 'new jersey'}, {'label': 'B', 'text': 'eastern united states'}, {'label': 'C', 'text': 'good repair'}, {'label': 'D', 'text': 'connecticut'}, {'label': 'E', 'text': 'arizona'}]",What state is the John Davis  Lodge toll road found in?,"['toll', 'lodge', 'road', 'state', 'john']"
76,A,5cc173999089fd11673252a58b8c0feb,clown,"[{'label': 'A', 'text': 'circus'}, {'label': 'B', 'text': 'carnival'}, {'label': 'C', 'text': 'surprise'}, {'label': 'D', 'text': 'spoons'}, {'label': 'E', 'text': 'party'}]","The man went to clown college, he had always want to run away with the what?","['clown', 'college', 'away', 'run', 'man']"
