,question.stem,keywords
107,What can a computer do quickly?,"['computer', 'quickly']"
108,"I had nothing but my hands from which to survive in the woods, what did I use them for?","['hands', 'woods', 'use', 'survive', 'did']"
109,"Before we can become men, we are?",['men']
110,"Rather than make a mess removing it all, they just decided to paint over the what?","['paint', 'mess', 'removing', 'make', 'just']"
111,Who is likely to have a large cymbal?,"['cymbal', 'large', 'likely']"
112,"While driving to work, what might a person be dreading?","['driving', 'dreading', 'work', 'person']"
113,"John acted cold, but in reality he was very what?","['john', 'cold', 'acted', 'reality']"
114,Where would a small dog that is someone's pet live?,"['pet', 'dog', 'small', 'live']"
115,"The package was set t o deliver the next day, but the customer had the option to go what it now?","['deliver', 'customer', 'package', 'option', 'day']"
116,The biohemist mom feared her dirt eating child would consume bacteria what did she avoid with him?,"['bacteria', 'biohemist', 'dirt', 'mom', 'child']"
117,"He liked the car and decided to buy it, he was now getting what of his first vehicle?","['car', 'vehicle', 'buy', 'getting', 'decided']"
118,"The two woke up and went out on the cabin's porch, they were breathing fresh air and one remarked ""now this is what I call what""?","['cabin', 'porch', 'air', 'breathing', 'fresh']"
119,When will you be unable to get warm since you will not know that you are cold?,"['warm', 'cold', 'unable', 'know']"
120,Where can you go to have a person assist you in mailing a letter?,"['mailing', 'letter', 'assist', 'person']"
121,What is the ultimate goal of going to work?,"['work', 'goal', 'going', 'ultimate']"
122,James was scared to run through the course because he feared injury.  What might he do instead?,"['injury', 'run', 'james', 'feared', 'scared']"
123,"If I am looking for a dental office in Ann Arbor, what state am I likely in?","['dental', 'arbor', 'state', 'ann', 'office']"
124,What does a person do when they hear a joke?,"['joke', 'person', 'hear', 'does']"
125,Johnny's teacher felt that he had such potential that he should not do what?,"['johnny', 'teacher', 'potential', 'felt']"
126,"The person spent all morning putting on make-up and elegant clothing, what was their result?","['morning', 'clothing', 'elegant', 'result', 'person']"
127,When would you need to get warm?,"['warm', 'need']"
128,James was the servant.   Max was his what?,"['servant', 'james', 'max']"
129,"The soldier was interred at the graveyard outside of Washington DC, where was he buried?","['buried', 'interred', 'graveyard', 'soldier', 'dc']"
130,"When you are trying to remember something, you are putting what on it?","['remember', 'putting', 'trying']"
131,What could sunshine light on fire if it is magnified?,"['sunshine', 'light', 'magnified']"
132,Even if you have a disability you can still have what which is the ability to do your job well?,"['disability', 'ability', 'job']"
133,Sarah was looking for an ancestor who was buried in an old cemetery.   Where might he find that cemetery?,"['cemetery', 'buried', 'ancestor', 'sarah', 'old']"
134,Bob spent all of his time analyzing the works of masters because he wanted to become what?,"['bob', 'masters', 'analyzing', 'time', 'spent']"
135,What should you prepare for if you are judging someone?,"['judging', 'prepare']"
136,Where do you get a needle from an IV?,"['needle', 'iv']"
137,"The couple decided to stay in bed all day together, unfortunately though it was because they what?","['bed', 'couple', 'day', 'decided', 'unfortunately']"
138,What was a historical occurrence in some cases when people of a certain belief system met people with different beliefs?,"['beliefs', 'historical', 'belief', 'people', 'met']"
139,"The sloppy dad saw the random stuff in the kitchen, and saw space for it next to the glasses, where did he decide to place it?","['kitchen', 'glasses', 'place', 'dad', 'stuff']"
140,Computers complete mathematic operations at what speed?,"['computers', 'mathematic', 'speed', 'operations', 'complete']"
141,What might frequent trips of going to market cause?,"['trips', 'market', 'frequent', 'cause', 'going']"
142,"The couples were together for fifty years in the study, what did they do less?","['couples', 'years', 'study', 'did']"
143,What is another name for trash can?,['trash']
144,If you competing against someone who is a rival what may you share?,"['competing', 'rival', 'share']"
145,Where do you normal use a pillow case?,"['pillow', 'case', 'normal', 'use']"
146,"The adviser had said the class was a requisite for his major, but on the first day he realized it was completely what?","['class', 'major', 'adviser', 'requisite', 'realized']"
147,Where might someone find a map on the wall?,"['map', 'wall']"
148,Where is a movie about a barber shop done?,"['barber', 'movie', 'shop']"
149,"The student practiced his guitar often, he always spent his free period where?","['student', 'guitar', 'practiced', 'period', 'free']"
150,How does a person get around town?,"['town', 'person', 'does']"
151,"The store offered cloth bags, but she had already brought her tote bag from her what?","['bag', 'bags', 'tote', 'cloth', 'store']"
152,According to many people of faith the first people ate from an apple tree causing them to be expelled from where?,"['tree', 'apple', 'people', 'faith', 'expelled']"
153,What the opposite of liken?,"['liken', 'opposite']"
154,Why do people memorize their passwords?,"['passwords', 'memorize', 'people']"
155,How do people usually begin an interaction?,"['interaction', 'begin', 'people', 'usually']"
156,what do living things do as they get older?,"['living', 'older', 'things']"
157,Where can toilet paper be bought?,"['toilet', 'paper', 'bought']"
158,What do I want that makes me want to procreate a lot?,"['procreate', 'want', 'makes', 'lot']"
159,"Falling doesn't cause injury.   Injury is cause by the ground, specifically what involving the ground?","['falling', 'ground', 'injury', 'involving', 'cause']"
160,Where do you buy vegetables?,"['vegetables', 'buy']"
161,"The politician was taking money from lobbyists, what were they hoping to do by giving it?","['lobbyists', 'politician', 'money', 'giving', 'hoping']"
162,What would I need if I want to know the number of people with cancer and I know the total number of people?,"['cancer', 'total', 'number', 'people', 'need']"
163,"The company blew up over night, it seemed like one day they were local and the next what?","['company', 'local', 'blew', 'day', 'night']"
164,Danny was getting warm. He turned on the air conditioner so he wouldn't do what?,"['danny', 'warm', 'air', 'conditioner', 'turned']"
165,"I have a chess pawn and 15 other pieces, what could I play with this?","['pawn', 'chess', 'pieces', 'play', '15']"
166,"The family was poor and couldn't afford meat, so what purpose did the potato serve in their meal?","['potato', 'meal', 'purpose', 'meat', 'family']"
167,What positive effect can making bread cause?,"['bread', 'effect', 'making', 'positive', 'cause']"
168,Where is a microphone boom likely to be used to broadcast live music?,"['microphone', 'music', 'broadcast', 'boom', 'live']"
169,"It was a weird place to be, she was the most popular but also the most what?","['popular', 'place', 'weird']"
170,"If I have information, why would I want to be communicating it?","['information', 'communicating', 'want']"
171,Where would finding a fox make a farmer angry?,"['fox', 'farmer', 'angry', 'finding', 'make']"
172,Where is usually the best place to store cheese?,"['cheese', 'store', 'place', 'usually', 'best']"
173,"The instructor explained that pretending was all it was, and practicing that was the only way to hone their what?","['practicing', 'pretending', 'instructor', 'hone', 'explained']"
174,Where do terrorist grow heroin poppies in the mountains?,"['poppies', 'heroin', 'mountains', 'terrorist', 'grow']"
175,If you have a cavity in the back of you mouth where is it?,"['cavity', 'mouth']"
176,What is the biological intent when two people are copulating?,"['copulating', 'biological', 'intent', 'people']"
177,What always happens to products after you are buying products?,"['products', 'buying', 'happens']"
178,Why would you try to find a bad apartment?,"['apartment', 'try', 'bad']"
179,Where do you wait before using your train ticket?,"['train', 'ticket', 'wait', 'using']"
180,"The construction began and they sunk a big support shaft into the ground, this would support the fancy what out front?","['construction', 'shaft', 'ground', 'sunk', 'support']"
181,From where could you read your child a storey before bed?,"['child', 'bed', 'storey', 'read']"
182,Buying something nice after a stressful event can make you what?,"['stressful', 'buying', 'event', 'make', 'nice']"
183,Where would you be shopping if you were at a bazaar named in a 1950's song?,"['bazaar', 'shopping', '1950', 'song', 'named']"
184,What would you do if someone poured water above you?,"['water', 'poured']"
185,What is a person helping for when going to customer service?,"['service', 'customer', 'helping', 'person', 'going']"
186,"The country was waging war, those back home had to ration their household use of what?","['war', 'ration', 'household', 'waging', 'home']"
187,Where would a runway used by people wearing camo in an array of colors?,"['camo', 'runway', 'colors', 'wearing', 'people']"
188,What has a keel in its skeleton?,"['keel', 'skeleton']"
189,Where can one find a road that goes through New York City?,"['york', 'road', 'city', 'new', 'goes']"
190,Dog lovers are known to have?,"['dog', 'lovers', 'known']"
191,Where do students sit in chairs for large meeetings?,"['chairs', 'sit', 'students', 'meeetings', 'large']"
192,A cat smelled something delicious and jumped into something dangerous. What might it have smelled?,"['cat', 'smelled', 'jumped', 'dangerous', 'delicious']"
193,If you're successful while performing you should receive what from you critics?,"['performing', 'critics', 'successful', 'receive']"
194,"A person in the Navy is wearing a monkey suit, what should they be wearing?","['suit', 'navy', 'wearing', 'monkey', 'person']"
195,"The parking area was full at every hour and every day with residents' cars, where was it located?","['parking', 'located', 'area', 'residents', 'cars']"
196,What can talking for a long time cause that makes you think of waterfalls?,"['waterfalls', 'talking', 'think', 'long', 'cause']"
197,"They began their family trip, they went from one national highway to another in their adventure across where?","['highway', 'trip', 'adventure', 'family', 'began']"
198,"Billy learned that he was a really bad runner, so he decided to do what?","['billy', 'runner', 'learned', 'bad', 'decided']"
199,What does an artist make when they see beautiful scenery?,"['scenery', 'artist', 'make', 'beautiful', 'does']"
200,Defending one's base against enemy attacks at all cost is what?,"['defending', 'attacks', 'base', 'enemy', 'cost']"
201,What happens to a persons hands after years of playing guitar?,"['guitar', 'hands', 'years', 'playing', 'happens']"
202,If something is known for its solidity it is often the case that it has few what?,"['solidity', 'case', 'known']"
203,"Sally couldn't hold on to Luke.  He kepy wiggling out of his grip.  With the match taking so long, she decided to do what?","['wiggling', 'sally', 'luke', 'match', 'grip']"
204,If your cutting tools aren't sharp they can lead to what kind of cut performance?,"['sharp', 'cutting', 'tools', 'cut', 'performance']"
205,What is the benefit of deciding to examine a thing?,"['examine', 'deciding', 'benefit', 'thing']"
206,"He had stayed up playing video games, and now his book made a good pillow where?","['pillow', 'book', 'games', 'playing', 'stayed']"
207,"I was getting in line and had a 5 hour wait, what did I feel over my time standing there?","['feel', 'line', 'standing', 'hour', 'wait']"
208,Where might one leave from to pursue their route as part of their job?,"['route', 'job', 'pursue', 'leave']"
209,"A child wants to survive, what does he need to do?","['survive', 'child', 'wants', 'need', 'does']"
210,"It was the first day and he was prepared, he had a whole pack of pencils in his what?","['pencils', 'prepared', 'pack', 'day']"
211,Where do you buy food shaped like mickey mouse?,"['mickey', 'mouse', 'food', 'shaped', 'like']"
212,Where might carpet help your feet stay warm?,"['carpet', 'feet', 'warm', 'help', 'stay']"
213,"Many people enjoy getting together with friends, they like to gather around the table to do what?","['friends', 'gather', 'table', 'people', 'getting']"
214,"If a person really wants to focus on a topic and judge it honestly, what should they be using?","['topic', 'judge', 'focus', 'using', 'honestly']"
215,What is the benefit to you of waiting for a bus?,"['bus', 'benefit', 'waiting']"
216,"He had only seen a lemur on television, but during the trip he saw one out in the what?","['lemur', 'television', 'saw', 'trip', 'seen']"
217,"The military tribunal was discovering the truth, what were they investigating?","['tribunal', 'investigating', 'military', 'discovering', 'truth']"
218,"The man wanted to impress women, so he began exercising, what was his expected result?","['exercising', 'impress', 'women', 'result', 'began']"
219,When is an armoire found near the entrance to your dwelling?,"['armoire', 'dwelling', 'entrance', 'near']"
220,"The minimalist author looked at his written work, but what was he focused on?","['minimalist', 'author', 'focused', 'written', 'looked']"
221,"The detective was on a stakeout to examine thing, he was going to sit there all day and what?","['detective', 'stakeout', 'thing', 'examine', 'sit']"
222,"Printing on printer at home can get costly, between the ink and what?","['printer', 'printing', 'ink', 'costly', 'home']"
223,"In the gruesome aftermath everyone struggled, though it was over there was definitely no what?","['aftermath', 'gruesome', 'struggled', 'definitely']"
224,What would friends do if they no longer like each other?,"['friends', 'like', 'longer']"
225,What would a person feel contemplating their life accomplishments?,"['accomplishments', 'life', 'contemplating', 'feel', 'person']"
226,"The farmer began reproducing the crop, he kept up this what until his fields were full?","['farmer', 'reproducing', 'crop', 'fields', 'began']"
227,Where can you buy candy and see ushers?,"['ushers', 'candy', 'buy']"
228,"Sarah noticed that she was out of cookies. She was going to serve some with dinner, so she needed more.  Where might she go?","['cookies', 'sarah', 'dinner', 'serve', 'going']"
229,Where might someone store a contraceptive?,"['contraceptive', 'store']"
230,"In a barbershop, what does the barber use to clean off someone's face after shaving them?","['barber', 'shaving', 'barbershop', 'clean', 'face']"
231,Twisting an ankle while playing sports will cause what?,"['ankle', 'twisting', 'sports', 'playing', 'cause']"
232,What do you usually fill with furniture?,"['furniture', 'usually']"
233,Where might eyeglasses get fogged up in the winter?,"['eyeglasses', 'fogged', 'winter']"
234,"The car was completely totaled in the accident, the only place it belonged now was atop a what?","['car', 'totaled', 'accident', 'atop', 'place']"
235,"When you are being bored, strategy games and traveling are ways to do what?","['games', 'traveling', 'bored', 'strategy', 'ways']"
236,What would you do to a door that you want to get through?,"['door', 'want']"
237,What sort of place is likely to sell crab dishes?,"['crab', 'dishes', 'place', 'sell', 'likely']"
238,Why was the couple standing in line?,"['line', 'couple', 'standing']"
239,What can fit in a condominium?,"['condominium', 'fit']"
240,Where do you get books in a bag?,"['books', 'bag']"
241,Where are you likely to find a variety of hair salons?,"['salons', 'hair', 'variety', 'likely']"
242,What risk of people with severe insanity is that they might do what?,"['insanity', 'risk', 'severe', 'people']"
243,Where might I get written information on a past event?,"['past', 'information', 'written', 'event']"
244,Sarah wanted to stay in bed all day.  She was up late with a cough last night and wanted to do what?,"['sarah', 'bed', 'cough', 'night', 'day']"
245,What will happen after eating hamburger every day for too long?,"['hamburger', 'eating', 'day', 'long', 'happen']"
246,What type of structure would hold any type of person including gamblers?,"['gamblers', 'structure', 'person', 'type', 'hold']"
247,Who has a need for a subway station?,"['subway', 'station', 'need']"
248,"John had good reason for his actions, but he couldn't explain himself to his daughter.  She say things in black and white, but really, that wasn't how the world was.  What was the world?","['john', 'world', 'black', 'white', 'daughter']"
249,Billy lived in the east wing of his home.  The west wing was where he kept boxes full of junk.  Sometimes he wished he hadn't decided to live in what?,"['billy', 'east', 'wing', 'home', 'boxes']"
250,"Jenny took her ficus for walks.  Everyone thought that this was silly.  You don't walk a plant, they said. It was big and heavy, too.  Still, every day she took it for a walk.  Where might she have taken it?","['ficus', 'plant', 'walks', 'jenny', 'walk']"
251,What is the hoped result of learning?,"['learning', 'result', 'hoped']"
252,How might a person be prompted to take action?,"['action', 'prompted', 'person']"
253,What could listening to music cause you to do?,"['music', 'listening', 'cause']"
254,"A person is driving by an upscale shopping complex, where is it located?","['located', 'driving', 'shopping', 'upscale', 'complex']"
255,Zoss was a philosopher.  He choose philosophy because thought that understanding things better would lead to what?,"['philosophy', 'philosopher', 'zoss', 'understanding', 'thought']"
256,"As the earl approached on horse back and saw the tower, what did he know he was close to?","['tower', 'earl', 'horse', 'saw', 'approached']"
257,Where must a television be kept quiet?,"['television', 'quiet', 'kept']"
258,Billy spends his time cleaning dust. Where can dust be found?,"['dust', 'billy', 'cleaning', 'time', 'spends']"
259,"Jay would run after the ball into the street, and always failed to so what?","['jay', 'ball', 'run', 'street', 'failed']"
260,When you cut into an apple what is something that you can find inside of it?,"['apple', 'cut', 'inside']"
261,What does a car usually do on a freeway?,"['freeway', 'car', 'usually', 'does']"
262,"The person was scared to face the crowd, but they knew they had to walk out to the microphone and speak at center what?","['crowd', 'microphone', 'speak', 'center', 'walk']"
263,What did the businessmen want when they sought entertaining experiences?,"['businessmen', 'entertaining', 'experiences', 'want', 'sought']"
264,What type of local would you expect to see one apple tree after another?,"['tree', 'apple', 'local', 'type', 'expect']"
265,"The space shuttle flew past Neptune, where was it looking to leave?","['neptune', 'shuttle', 'space', 'flew', 'leave']"
266,Where would you find a shopping bag filled with clothes?,"['bag', 'shopping', 'clothes', 'filled']"
267,"She thought she had done bad on the test, but the A+ showed she had done what?","['test', 'showed', 'bad', 'thought']"
268,What would you want to get after you serve customers?,"['customers', 'serve', 'want']"
269,A good thing for friends to do when they want to discuss something important?,"['friends', 'discuss', 'important', 'thing', 'good']"
270,"Janes loved having food, but he couldn't eat as much as he would like because he has trouble doing what?","['food', 'janes', 'eat', 'having', 'trouble']"
271,Where can I get a beer from someone I don't know well?,"['beer', 'don', 'know']"
272,"The man sat down at his piano and looked into the darkness and heard coughs and whispers, where was he?","['piano', 'darkness', 'whispers', 'coughs', 'looked']"
273,"The bird was alarmed when a raccoon walked by her next, what did she do to scare it away?","['raccoon', 'bird', 'scare', 'alarmed', 'walked']"
274,"Some people are environmentalists, when they see cardboard in the rubbish they move it to the what?","['environmentalists', 'cardboard', 'people', 'rubbish']"
275,"He was trying to do printing on printer, but there was some what popping up?","['printer', 'printing', 'popping', 'trying']"
276,"A committee is just a way to get overtime and special pay, that's why people who work in where always make them?","['committee', 'overtime', 'work', 'make', 'pay']"
277,What do children love to do with scissors and paper?,"['scissors', 'paper', 'children', 'love']"
278,"The main attraction was a reconstructed dinosaur skeleton, it stood tall on a platform in the center of the what?","['dinosaur', 'skeleton', 'reconstructed', 'stood', 'platform']"
279,"James wanted to stop the message, but it was already out for delivery.  This type of message could he very fast. What is this?","['message', 'delivery', 'fast', 'james', 'type']"
280,What structure is a nightclub in?,"['nightclub', 'structure']"
281,"Where would you find an apple tree, a tractor, or plow?","['tractor', 'plow', 'tree', 'apple']"
282,How  will running after a ball need to be done?,"['running', 'ball', 'need']"
283,What is the opposite of something that is valuable?,"['valuable', 'opposite']"
284,"Animals needed to travel large distances, so what traits evolved from this need?","['travel', 'evolved', 'distances', 'animals', 'traits']"
285,Where are almost all rosebushes found?,['rosebushes']
286,"They were trying the impossible, to capture the sound of what?","['sound', 'capture', 'impossible', 'trying']"
287,When you communicate among a group in person what are you doing?,"['communicate', 'group', 'person', 'doing']"
288,What fires a projectile ball and holds a burning rope?,"['projectile', 'ball', 'rope', 'fires', 'burning']"
289,Where would you find a lizard not native to an area with a lot of rain?,"['lizard', 'rain', 'area', 'native', 'lot']"
290,What does a person want when they get hurt?,"['hurt', 'want', 'person', 'does']"
291,"Of anybody you want to find where, a salesman is probably the worst surprise behind it?","['salesman', 'surprise', 'anybody', 'worst', 'want']"
292,What state is usually always red in the national elections?,"['elections', 'state', 'red', 'national', 'usually']"
293,What do people do to express when they have fun?,"['fun', 'people', 'express']"
294,"The man was watching television in hopes of catching his favorite show, what was he seeking?","['television', 'watching', 'seeking', 'catching', 'favorite']"
295,Where might there be a small amount of lint?,"['lint', 'small']"
296,I designed some new buying products to help you through financial difficultises. If you owe a lot of money what can this help you get out of?,"['financial', 'products', 'owe', 'buying', 'money']"
