,question.stem,keywords,answer
34,"She was always helping at the senior center, it brought her what?","['helping', 'senior', 'brought', 'center']",happiness
35,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?","['lock', 'thief', 'wheel', 'steering', 'kept']",ignition switch
36,Who is a police officer likely to work for?,"['police', 'officer', 'work', 'likely']",city
37,"If you have leftover cake, where would you put it?","['cake', 'leftover']",refrigerator
38,"A human wants to submerge himself in water, what should he use?","['submerge', 'water', 'human', 'use', 'wants']",whirlpool bath
39,Where is a doormat likely to be in front of?,"['doormat', 'likely']",front door
40,Bob the lizard lives in a warm place with lots of water.  Where does he probably live?,"['lizard', 'bob', 'place', 'warm', 'water']",tropical rainforest
41,August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?,"['money', 'august', 'house', 'afraid', 'need']",pay bills
42,"He needed more information to fix it, so he consulted the what?","['information', 'fix', 'consulted', 'needed']",manual
43,Where can you put a picture frame when it's not hung vertically?,"['frame', 'vertically', 'picture', 'hung']",table
44,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,"['james', 'minors', 'beer', 'bad', 'buying']",broken law
45,What is the result of applying for  job?,"['applying', 'job', 'result']",being employed
46,What must someone do before they shop?,['shop'],get money
47,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?","['violin', 'john', 'bring', 'work', 'important']",violin case
48,What is a place that usually does not have an elevator and that sometimes has a telephone book?,"['elevator', 'telephone', 'place', 'usually', 'book']",house
49,Who is likely to be excited about a crab?,"['crab', 'excited', 'likely']",fishmongers
50,Where can a human find clothes that aren't pants?,"['pants', 'clothes', 'human', 'aren']",dress shop
51,"If I was getting drunk, and people couldn't understand me, what might I be having?","['drunk', 'having', 'people', 'couldn', 'understand']",slurred speech
52,"When a person is beginning work, what are they building?","['building', 'work', 'beginning', 'person']",momentum
53,"A child wants to play, what would they likely want?","['play', 'child', 'wants', 'want', 'likely']",play tag
54,Talking to the same person about the same thing over and over again is something someone can what?,"['talking', 'person', 'thing']",get tired of
55,The teacher doesn't tolerate noise during a test in their what?,"['teacher', 'noise', 'test', 'tolerate', 'doesn']",classroom
56,"The freeway had no traffic and few buildings, where is it?","['freeway', 'traffic', 'buildings']",countryside
57,Where would you go if you wanted to have fun with a few people?,"['fun', 'people', 'wanted']",
58,"If there is a place that is hot and arid, what could it be?","['arid', 'place', 'hot']",lifeless
59,What is likely to satisfy someone's curiosity?,"['curiosity', 'satisfy', 'likely']",hear news
60,If you are in a bar in a glove shaped state where are you?,"['bar', 'glove', 'state', 'shaped']",michigan
61,Where would a computer user be using their own computer?,"['computer', 'user', 'using']",house
62,Crabs live in what sort of environment?,"['crabs', 'environment', 'live', 'sort']",saltwater
63,Where can you find a snake in tall grass?,"['snake', 'grass', 'tall']",feild
64,What is a place that has a bench nestled in trees?,"['trees', 'place', 'bench', 'nestled']",state park
65,Where is a human likely to go as a result of being hungry?,"['hungry', 'human', 'result', 'likely']",eat in restaurant
66,He was beginning to regret taking the fight when he saw how what his opponent was?,"['opponent', 'fight', 'regret', 'taking', 'saw']",confident
67,Where would you find a single shower curtain being used?,"['curtain', 'shower', 'single', 'used']",bathtub
68,Where is a good idea but not required to have a fire extinguisher?,"['extinguisher', 'idea', 'required', 'good']",house
69,What continent has the most castles?,"['castles', 'continent']",europe
70,If you have to read a book that is very dry and long you may become what?,"['book', 'read', 'dry', 'long']",bored
71,Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work?,"['sally', 'clipboard', 'papers', 'work', 'names']",school
72,The kids didn't clean up after they had done what?,"['kids', 'clean', 'didn']",play with toys
73,"Despite the name a pawn can be quite versatile, all the parts are important in a what?","['pawn', 'parts', 'versatile', 'important', 'despite']",chess game
74,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,"['hole', 'basketball', 'shape', 'true', 'lose']",full of air
75,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?","['awaking', 'night', 'cause', 'mind', 'lot']",depression
76,Where does a wild bird usually live?,"['bird', 'wild', 'usually', 'live', 'does']",countryside
77,Where would you expect to find white mice?,"['mice', 'white', 'expect']",laboratory
78,John felt that his actions were fate.   Harry said that he could have always made a different what?,"['fate', 'harry', 'john', 'actions', 'felt']",choice
79,What could committing murder prevent someone from doing?,"['murder', 'prevent', 'committing', 'doing']",find god
80,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","['george', 'feet', 'soles', 'blistered', 'socks']",walk
81,A crane uses many a steel cable when working a what?,"['crane', 'steel', 'cable', 'working', 'uses']",construction site
82,What is the main purpose of farmers?,"['farmers', 'purpose', 'main']",supply food
83,Where can I put this penny to save for later?,"['penny', 'save', 'later']",piggy bank
84,Where would you put uncooked crab meat?,"['crab', 'uncooked', 'meat']",
85,"The man had a fear of illness, so he never visited friends who were a what?","['illness', 'friends', 'fear', 'man', 'visited']",
86,Where would you put pans if you want to bring them with you?,"['pans', 'bring', 'want']",backpack
87,"If you're remembering something, it's because of your what of it to begin with?","['remembering', 'begin']",knowing
88,Which large land mass is home to the most monkeys?,"['monkeys', 'land', 'mass', 'large', 'home']",
89,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,"['james', 'anniversary', 'bed', 'friday', 'time']",making love
90,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?","['teens', 'door', 'drink', 'hide', 'walked']",stagger
91,You'll find a landing at the top of what?,"['landing', 'll']",stairwell
92,"Anybody could be hired in the kitchen, what was needed of them?","['kitchen', 'hired', 'anybody', 'needed']",wash dishes
93,Where can you find a number of wind instruments together in public?,"['instruments', 'wind', 'public', 'number']",symphony
94,A mountie got off at a subway stop.  What city might he be in?,"['mountie', 'city', 'subway', 'stop', 'got']",toronto
95,What do you want someone to do when you illustrate point?,"['illustrate', 'point', 'want']",understanding
96,Billy set aside a block of time for having fun after work. Why might he do this?,"['fun', 'billy', 'work', 'having', 'time']",stress relief
97,"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?","['lazy', 'white', 'effort', 'ban', 'suit']",productive
98,What would you be unable to do if you have too much greed?,"['greed', 'unable']",make friends
99,"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?","['hotel', 'trip', 'farm', 'stayed', 'arrived']",city
100,I did not need a servant.  I was not a what?,"['servant', 'need', 'did']",rich person
101,How would you get from one side of a canal to another?,['canal'],bridge
102,"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions","['cultures', 'preconceived', 'notions', 'learning', 'world']",open mind
103,"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?","['workflow', 'computers', 'manage', 'time', 'thing']",multitask
104,Obstructing justice is sometimes an excuse used for police brutality which causes what in people?,"['obstructing', 'police', 'justice', 'brutality', 'causes']",getting hurt
105,While washing clothes they became what when caught on the sharp object?,"['washing', 'clothes', 'object', 'sharp', 'caught']",torn
106,Seafood restaurants are used to draw tourists where?,"['restaurants', 'seafood', 'tourists', 'draw', 'used']",coastal cities
107,James's nice asked him about her grandfather. She was interested in learning about what?,"['james', 'grandfather', 'learning', 'asked', 'interested']",
108,James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?,"['twinkling', 'yonder', 'looked', 'black', 'james']",universe
109,What would encourage someone to continue playing tennis?,"['tennis', 'encourage', 'playing', 'continue']",victory
110,James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?,"['james', 'sound', 'relaxing', 'efforts', 'despite']",fall asleep
111,What regions of a town would you have found a dime store?,"['dime', 'regions', 'store', 'town']",small neighborhood
112,Where might an unused chess set be stored?,"['stored', 'unused', 'chess', 'set']",cupboard
113,"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?","['frogs', 'james', 'mating', 'son', 'careful']",disturb
114,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?","['air', 'saturday', 'conditioning', 'game', 'installed']",house
115,What could be playing a balailaika?,"['balailaika', 'playing']",orchestra
116,"Sailors drive many different types of boats, what type of boat involves their namesake.","['sailors', 'boats', 'boat', 'namesake', 'types']",sail boat
117,Where could a person avoid the rain?,"['rain', 'avoid', 'person']",synagogue
118,Why would a person like to have a large house?,"['house', 'large', 'person', 'like']",lots of space
119,Where will a cheap book be found?,"['book', 'cheap']",discount store
120,John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?,"['idiots', 'falcons', 'jets', 'tickets', 'john']",sporting event
121,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"['james', 'surgeon', 'penis', 'bigger', 'act']",effusive
122,Who do professors work with?,"['professors', 'work']",school students
123,Colorful anemone look somewhat like what object you find on window sills?,"['anemone', 'colorful', 'sills', 'object', 'window']",flower bed
124,From where do aliens arrive?,"['aliens', 'arrive']",outer space
125,"The hikers stopped to have a drink, simply put they what?","['hikers', 'drink', 'stopped', 'simply']",were thirsty
126,When you get up in the morning before you begin work you should do what?,"['work', 'morning', 'begin']",shower
127,"The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?","['kitten', 'slid', 'claws', 'dig', 'stop']",floor
128,If a person is trying to keep something in their hand what should they do?,"['hand', 'person', 'trying']",have to hold
129,Where could you find hundreds of thousands of home?,"['thousands', 'home', 'hundreds']",city or town
130,"Playing baseball is a lot like any other sport, there is always a risk of what?","['risk', 'baseball', 'sport', 'playing', 'like']",injury
131,If I want to watch a movie without leaving my home what might I use?,"['movie', 'watch', 'home', 'use', 'leaving']",television
132,"The victim was to take stand today, they were going to do what?","['victim', 'stand', 'today', 'going']",testify
133,What does a successful dog grooming session likely to make a owner feel?,"['grooming', 'dog', 'successful', 'session', 'owner']",satisfaction
134,"The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?","['runner', 'second', 'beginning', 'pushed', 'thought']",gain ground
135,"The tourist entered Mammoth cave, what state were they in?","['mammoth', 'cave', 'state', 'tourist', 'entered']",kentucky
136,What does someone typically feel when applying for a job?,"['applying', 'job', 'feel', 'typically', 'does']",anxiety and fear
137,"He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?","['trial', 'justice', 'obstructing', 'guilty', 'comment']",committing perjury
138,What kind of feelings does buying presents for others create?,"['presents', 'feelings', 'buying', 'does', 'create']",make happy
139,What green area is a marmot likely to be found in?,"['marmot', 'green', 'area', 'likely']",countryside
140,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?","['current', 'wires', 'jan', 'tested', 'thought']",resistance
141,What does a kindergarten teacher do before nap time?,"['kindergarten', 'nap', 'teacher', 'time', 'does']",tell story
142,"Sam was a stranger.  Even so, Mark treated him like what?","['sam', 'mark', 'stranger', 'treated', 'like']",family
143,"Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?","['door', 'bulb', 'bob', 'walls', 'light']",closed room
144,James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?,"['james', 'criminal', 'justice', 'ideas', 'computer']",control model
145,With the card slot lit up he knew how to get started finding his balance with what?,"['card', 'balance', 'slot', 'finding', 'started']",automated teller
146,To play sports professionally you must do what very often?,"['sports', 'play', 'professionally']",practice
147,Some people prefer releasing energy through work while others prefer to release it through what?,"['energy', 'work', 'releasing', 'people', 'release']",exercise
148,What will a person going for a jog likely be wearing?,"['jog', 'wearing', 'person', 'likely', 'going']",comfortable clothes
149,"The child pretended he was reading newspaper, he couldn't actually do it without what?","['newspaper', 'pretended', 'reading', 'child', 'couldn']",knowing how to read
150,Jenny enjoyed helping people.  It brought her a great deal of what?,"['jenny', 'helping', 'people', 'brought', 'enjoyed']",satisfaction
151,What might someone believe in if they are cleaning clothes?,"['cleaning', 'clothes', 'believe']",sanitation
152,Where would you find a basement that can be accessed with an elevator?,"['basement', 'elevator', 'accessed']",office building
153,In order to learn to program from another person you can do what?,"['program', 'learn', 'person', 'order']",take class
154,"He was at the gym trying to build muscle, what is it called that he is trying to build muscle on?","['muscle', 'gym', 'build', 'trying', 'called']",human body
155,What part of plants is pretty?,"['plants', 'pretty']",flowers on
156,"The man was going fishing instead of work, what is he seeking?","['fishing', 'seeking', 'work', 'man', 'instead']",relaxation
157,What could you get an unsmooth pit from?,"['pit', 'unsmooth']",peach
158,"The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?","['conversations', 'reply', 'woman', 'keeping', 'difficulty']",initiate
159,"I couldn't find anybody who recalled the event, what were they adroit at doing?","['event', 'adroit', 'couldn', 'recalled', 'anybody']",forget
160,Where would you find a large dining room containing a fancy chandelier?,"['chandelier', 'dining', 'room', 'fancy', 'large']",mansion
161,"The extremely large cargo plane could only land at a specialized runway, these were only located at a what?","['runway', 'plane', 'cargo', 'land', 'specialized']",military base
162,"The carpet was smelly and discouraged the league from playing there, where was this smelly carpet installed?","['carpet', 'league', 'smelly', 'playing', 'discouraged']",bowling alley
163,How can someone be let into a brownstone?,"['brownstone', 'let']",ring
164,Where would someone purchase an upright piano?,"['piano', 'upright', 'purchase']",music store
165,Where would you keep an ottoman near your front door?,"['ottoman', 'door', 'near']",living room
166,Diving into backyard pools can be very dangerous and can lead to serious head and what?,"['diving', 'pools', 'dangerous', 'backyard', 'head']",spinal injuries
167,Where would one find a snake in a cage?,"['snake', 'cage']",pet store
168,Where are people likely to become impatient?,"['impatient', 'people', 'likely']",
169,"When you fail to finish something, you failed at doing what to it","['failed', 'finish', 'fail', 'doing']",completing
170,John didn't care about style.  He felt that form was less important than what?,"['john', 'style', 'form', 'care', 'important']",function
171,"When you get together with friends to watch film, you might do plenty of this?","['film', 'friends', 'watch', 'plenty']",have fun
172,A supermarket is uncommon in what type of collection of shops?,"['supermarket', 'shops', 'collection', 'uncommon', 'type']",strip mall
173,"Bill puts meat on the scale, where does Bill work?","['meat', 'scale', 'work', 'does', 'puts']",butcher shop
174,"I'm having some food at my party, what will I need to serve it?","['party', 'food', 'serve', 'having', 'need']",spoon
175,Before racers start to run they must do what at the starting line?,"['racers', 'run', 'start', 'starting', 'line']",stand still
176,What does an actor do when they are bored of their roles?,"['actor', 'roles', 'bored', 'does']",branch out
177,What is a person called who doesn't have immortality?,"['immortality', 'person', 'called', 'doesn']",mortal
178,Why would you be watching tv instead of doing something else?,"['tv', 'watching', 'instead', 'doing']",laziness
179,"If chewing food is difficult for you, what is a possible reason?","['chewing', 'difficult', 'food', 'reason', 'possible']",sore mouth
180,"He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?","['tuxedo', 'instrument', 'keyboard', 'members', 'playing']",orchestra
181,Where do you find the most amount of leafs?,['leafs'],forrest
182,Where can children play with animals?,"['animals', 'children', 'play']",fairgrounds
183,What kind of tale might feature a talking weasel?,"['weasel', 'tale', 'talking', 'kind', 'feature']",
184,What kind of status is the bald eagle given?,"['eagle', 'bald', 'status', 'kind', 'given']",protection
185,Why do most people take a quick rest during the day?,"['rest', 'day', 'people', 'quick']",feel more energetic
186,What could suddenly stop someone when he or she is running?,"['running', 'suddenly', 'stop']",falling down
187,Where would you find a monkey in the wild?,"['monkey', 'wild']",thailand
188,Where could a sloth live?,"['sloth', 'live']",tropical jungle
189,"A gentleman is carrying equipment for golf, what is he likely to have?","['equipment', 'golf', 'carrying', 'gentleman', 'likely']",club
190,"If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?","['courtyard', 'home', 'thing', 'care', 'don']",lawn
191,"The computer was difficult for he to understand at the store, so what did she sign up for to learn more?","['computer', 'store', 'learn', 'understand', 'difficult']",demonstration
192,"If you take the risk buying a used car, you still hope it can what?","['car', 'risk', 'hope', 'buying', 'used']",last several years
193,"Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?","['dan', 'laurie', 'book', 'ditting', 'focused']",fall asleep
194,What is the primary purpose of cars?,"['cars', 'purpose', 'primary']",move people
195,"Alabama is full of different people, but they are all citizens of what?","['alabama', 'citizens', 'people', 'different']",united states
196,They were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?,"['campaign', 'awareness', 'effect', 'hoping', 'problem']",reduce
197,What do airplanes do as they are arriving at the gate?,"['airplanes', 'arriving', 'gate']",slow down
198,If a person with mental illness stops treatment what will likely happen?,"['treatment', 'illness', 'mental', 'stops', 'person']",recur
199,The gimmicky low brow TV show was about animals when they what?,"['animals', 'tv', 'gimmicky', 'brow', 'low']",attack
200,"A loud machine is irritating, but many are expected where?","['loud', 'machine', 'irritating', 'expected']",industrial area
201,What part of a table would you put a ruler in?,"['ruler', 'table']",drawer
202,What happens if someone kisses too long?,"['kisses', 'long', 'happens']",shortness of breath
203,"If I have a modern light source in my living room, what is it likely to be?","['light', 'modern', 'room', 'living', 'likely']",lamp
204,"The person saw the mess his children made, what was his following reaction?","['children', 'reaction', 'mess', 'saw', 'person']",look angry
205,Who might wear dark glasses indoors?,"['glasses', 'dark', 'indoors', 'wear']",blind person
206,Where would stones not be arranged in a path?,"['stones', 'path', 'arranged']",field
207,A bald eagle is likely to be found on what kind of work?,"['eagle', 'bald', 'work', 'likely', 'kind']",painting
208,"The hostess was good at her job, she always had a smile when she would what?","['hostess', 'smile', 'job', 'good']",welcome guests
209,What is likely to happen to someone who is learning?,"['learning', 'likely', 'happen']",knowing more
210,"The inspector was agreeing with the factory protocols, what was the status of the factory?","['factory', 'inspector', 'protocols', 'status', 'agreeing']",compliance
211,"After standing up I had to sit right back down, why would I feel like this?","['sit', 'standing', 'feel', 'like', 'right']",balance
212,Where do you go on a night out before going to the bar?,"['bar', 'night', 'going']",restaurant
213,"The dad wanted to protect his house, where did he put his gun?","['gun', 'dad', 'house', 'protect', 'wanted']",drawer
214,What instrument can be played with an air of happiness?,"['instrument', 'happiness', 'air', 'played']",fiddle
215,What to kids do for boredom on a ramp?,"['ramp', 'kids', 'boredom']",skateboard
216,What animal has quills all over it?,"['quills', 'animal']",hedgehog
217,Why would you go to an office?,['office'],work
218,When is the worst time for having food?,"['food', 'worst', 'time', 'having']",not hungry
219,If you spend all your time buying and not saving what is is likely to happen?,"['saving', 'spend', 'buying', 'time', 'likely']",go broke
220,"Though a mouse might prefer your house, you might also see him where?","['mouse', 'house', 'prefer']",garden
221,What is performing a type of?,"['performing', 'type']",act
222,"The car was going from Alabama to New York, what was its goal?","['car', 'alabama', 'york', 'goal', 'new']",head north
223,What do they call the trash in Australia?,"['australia', 'trash']",dustbin
224,"Joan wants to cook a potato, where should she place it?","['potato', 'joan', 'cook', 'place', 'wants']",boiling water
225,Writers with a great what can amass a large fortune?,"['writers', 'fortune', 'amass', 'large', 'great']",imagination
226,Where do all animals live?,"['animals', 'live']",surface of earth
227,How are the conditions for someone who is living in a homeless shelter?,"['homeless', 'shelter', 'conditions', 'living']",sometimes bad
228,You can do knitting to get the feeling of what?,"['knitting', 'feeling']",relaxation
229,What might a very large table be?,"['table', 'large']",conference
230,John got his tax refund back.  He treated it like it was what?,"['tax', 'refund', 'john', 'treated', 'like']",free money
231,A person with an allergy might be doing what if they awake suddenly?,"['allergy', 'awake', 'suddenly', 'person', 'doing']",sneezing
232,Where is a ferret unlikely to be?,"['ferret', 'unlikely']",classroom
233,If you jump in any of the oceans you will get?,"['oceans', 'jump']",wet
234,"Immediately after peeing, a person's bladder is what?","['bladder', 'peeing', 'immediately', 'person']",empty
235,"The lady would eat and eat, and because of mental issues would then make herself what?","['lady', 'eat', 'mental', 'make', 'issues']",throw up
236,"A car was hailed to chauffeur someone to the opera house, where was it heading?","['chauffeur', 'car', 'opera', 'heading', 'house']",go downtown
237,What do you go to see for live entertainment?,"['entertainment', 'live']",show
238,The teacher thought that a ferret can be very mischievous and probably wouldn't make a great pet for the entire what?,"['ferret', 'teacher', 'pet', 'mischievous', 'make']",classroom
239,A creek is a body of water found in what low land?,"['creek', 'land', 'water', 'low', 'body']",valley
240,"If I have a pet bird, what does it likely live in?","['bird', 'pet', 'live', 'likely', 'does']",cage
241,Joe and Mac were playing basketball. They did it every day in their back yard.  Why were they playing basketball?,"['basketball', 'joe', 'playing', 'mac', 'yard']",have fun
242,What makes someone a nomad?,"['nomad', 'makes']",have no home
243,What is a treat that you dog will enjoy?,"['dog', 'treat', 'enjoy']",bone
244,Women used to be expected to wear a dress but it's now acceptable for them to wear what?,"['dress', 'women', 'wear', 'acceptable', 'expected']",pants
245,The fact that Joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what?,"['brain', 'joe', 'memorize', 'list', 'apparent']",awake
246,What is a wet person likely to do?,"['wet', 'person', 'likely']",catch cold
247,"After recovering from the disease, what did the doctor call the patient?","['disease', 'doctor', 'patient', 'recovering', 'did']",healthy
248,"The painter started to edge the room with tape, he always took extra care to make the lines clean and crisp when working with an what?","['tape', 'painter', 'lines', 'room', 'edge']",interior
249,"After high tide, where on the coast can you look to find a sea anemone?","['anemone', 'coast', 'sea', 'tide', 'look']",tide pool
250,What could a driving car do to a pedestrian?,"['pedestrian', 'driving', 'car']",wreak
251,People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?,"['boredom', 'things', 'alleviate', 'people', 'house']",listen to music
252,"At a grocery store they sell individual potatoes, where does the grocery clerk likely put the potato?","['potatoes', 'potato', 'grocery', 'clerk', 'store']",paper bag
253,What room is a rubber bath mat usually kept?,"['mat', 'bath', 'rubber', 'room', 'usually']",bathroom
254,What would you put meat on top of to cook it?,"['meat', 'cook']",frying pan
255,Minerals can be obtained in what way for a person who avoids leafy greens?,"['minerals', 'greens', 'leafy', 'avoids', 'obtained']",multivitamin
256,What could you be a few hours after you finish cashing in due to your cash?,"['cashing', 'cash', 'hours', 'finish']",happy
257,"The smelly man was having a bath, but what is he pursuing?","['bath', 'smelly', 'pursuing', 'having', 'man']",personal cleanliness
258,What might a couple have a lot of when they are deciding on stopping being married to each other?,"['married', 'couple', 'deciding', 'stopping', 'lot']",fights
259,"If a person is working a lot, what are they likely trying to earn?","['earn', 'working', 'lot', 'person', 'trying']",much money
260,"The traveling business man was glad his credit card had perks, it offset the high prices for travel from a what?","['traveling', 'travel', 'card', 'business', 'credit']",airport
261,"Billy hated using other people's toilets. He was only comfortable on his own.  So whenever he needed to poop, he would go back to his what?","['billy', 'toilets', 'poop', 'using', 'people']",house
262,"The forest experienced a cold winter, where is it located?","['forest', 'winter', 'cold', 'located', 'experienced']",temperate zone
263,How can you let someone know about your anger without hurting him or her?,"['anger', 'hurting', 'let', 'know']",write letter
264,Where is one likely to find a brownstone?,"['brownstone', 'likely']",new york city
265,What may I place the telephone on?,"['telephone', 'place']",
266,What language type is someone from Iran likely to use?,"['iran', 'language', 'type', 'likely', 'use']",dard
267,"John went to a party that lasted all night.  Because of this, he didn't have time for what?","['party', 'john', 'time', 'lasted', 'night']",studying
268,"The child wasn't allowed in the kitchen but still wanted to help, what could it do to help in the dining room?","['kitchen', 'dining', 'child', 'room', 'help']",set table
269,"He was having a hard time expressing himself in a healthy way, the psychologist said he was mentally what?","['psychologist', 'mentally', 'expressing', 'healthy', 'having']",suffering
270,When someone is physically competing what does their body do?,"['competing', 'physically', 'body', 'does']",sweat
271,How would you express information to a deaf person?,"['deaf', 'information', 'person', 'express']",write down
272,Printing on a printer can get expensive because it does what?,"['printing', 'printer', 'expensive', 'does']",use paper
273,What will god never do according to religion?,"['god', 'religion', 'according']",judge people
274,One of the potential hazards of attending school is what?,"['hazards', 'school', 'attending', 'potential']",colds and flu
275,What has a surface with many sides?,"['surface', 'sides']",tetrahedron
276,What could bring a container from one place to another?,"['container', 'bring', 'place']",cargo ship
277,The old style pop ups literally let you see the story when you did what?,"['pop', 'story', 'old', 'did', 'literally']",open book
278,What is it called when you are talking to someone?,"['talking', 'called']",communication
279,"The family finished dinner, the child's chore was to load the dirty dishes where?","['dishes', 'chore', 'dinner', 'child', 'dirty']",
280,Where could you find a bureau as well as many politicians?,"['politicians', 'bureau']",washington dc
281,"Dad wanted to hide the check in his office, where did he put it?","['dad', 'hide', 'office', 'check', 'did']",desk drawer
282,"For some reason she was devoid of regular emotions, buying products was the only way she could feel what?","['products', 'emotions', 'feel', 'buying', 'devoid']",pleasure
283,Where are horses judged on appearance?,"['horses', 'appearance', 'judged']",fair
284,Why do people read non fiction?,"['fiction', 'read', 'people', 'non']",
285,While knitting you can do what using a radio?,"['knitting', 'radio', 'using']",listen to music
286,Where are you likely to set papers while working on them?,"['papers', 'working', 'set', 'likely']",table
287,"John had a massive debt to 50 million dollars.  Compared to that, Leo's 2000 dollar debt seemed what?","['debt', 'leo', 'dollars', 'john', 'dollar']",insubstantial
